model,modality,value,function_name,patch_attention,patch_ffn,attn_fn,ffn_fn,attn_segments,attn_segment_0
meta-llama/Llama-2-70b-hf,nlp,4.357540559162827,pwl,True,False,PWLSoftmax,CustomSilu,20,-16
meta-llama/Llama-2-70b-hf,nlp,4.3574956708043855,pwl,True,False,PWLSoftmax,CustomSilu,20,-17
meta-llama/Llama-2-70b-hf,nlp,4.357969619264278,pwl,True,False,PWLSoftmax,CustomSilu,20,-18
meta-llama/Llama-2-70b-hf,nlp,4.357818710622384,pwl,True,False,PWLSoftmax,CustomSilu,20,-19
meta-llama/Llama-2-70b-hf,nlp,4.357839992738706,pwl,True,False,PWLSoftmax,CustomSilu,20,-20
meta-llama/Llama-2-70b-hf,nlp,4.3585026358238705,pwl,True,False,PWLSoftmax,CustomSilu,20,-21
meta-llama/Llama-2-70b-hf,nlp,4.358159665286656,pwl,True,False,PWLSoftmax,CustomSilu,20,-22
meta-llama/Llama-2-70b-hf,nlp,4.358922370754165,pwl,True,False,PWLSoftmax,CustomSilu,20,-23
meta-llama/Llama-2-70b-hf,nlp,4.358654145140394,pwl,True,False,PWLSoftmax,CustomSilu,20,-24
meta-llama/Llama-2-70b-hf,nlp,4.357593053724101,pwl,True,False,PWLSoftmax,CustomSilu,21,-16
meta-llama/Llama-2-70b-hf,nlp,4.357612107275942,pwl,True,False,PWLSoftmax,CustomSilu,21,-17
meta-llama/Llama-2-70b-hf,nlp,4.357622980238471,pwl,True,False,PWLSoftmax,CustomSilu,21,-18
meta-llama/Llama-2-70b-hf,nlp,4.3577139547227635,pwl,True,False,PWLSoftmax,CustomSilu,21,-19
meta-llama/Llama-2-70b-hf,nlp,4.357848830088318,pwl,True,False,PWLSoftmax,CustomSilu,21,-20
meta-llama/Llama-2-70b-hf,nlp,4.35788306895018,pwl,True,False,PWLSoftmax,CustomSilu,21,-21
meta-llama/Llama-2-70b-hf,nlp,4.358488132913916,pwl,True,False,PWLSoftmax,CustomSilu,21,-22
meta-llama/Llama-2-70b-hf,nlp,4.35830484652618,pwl,True,False,PWLSoftmax,CustomSilu,21,-23
meta-llama/Llama-2-70b-hf,nlp,4.358939132437045,pwl,True,False,PWLSoftmax,CustomSilu,21,-24
meta-llama/Llama-2-70b-hf,nlp,4.357618574695976,pwl,True,False,PWLSoftmax,CustomSilu,22,-16
meta-llama/Llama-2-70b-hf,nlp,4.357676774075506,pwl,True,False,PWLSoftmax,CustomSilu,22,-17
meta-llama/Llama-2-70b-hf,nlp,4.357621055483984,pwl,True,False,PWLSoftmax,CustomSilu,22,-18
meta-llama/Llama-2-70b-hf,nlp,4.357551113330808,pwl,True,False,PWLSoftmax,CustomSilu,22,-19
meta-llama/Llama-2-70b-hf,nlp,4.357807292923333,pwl,True,False,PWLSoftmax,CustomSilu,22,-20
meta-llama/Llama-2-70b-hf,nlp,4.35773213785886,pwl,True,False,PWLSoftmax,CustomSilu,22,-21
meta-llama/Llama-2-70b-hf,nlp,4.357851153413322,pwl,True,False,PWLSoftmax,CustomSilu,22,-22
meta-llama/Llama-2-70b-hf,nlp,4.3581392640806556,pwl,True,False,PWLSoftmax,CustomSilu,22,-23
meta-llama/Llama-2-70b-hf,nlp,4.3582716450263135,pwl,True,False,PWLSoftmax,CustomSilu,22,-24
