model,modality,value,function_name,patch_attention,patch_ffn,attn_fn,ffn_fn,attn_exp_dim,attn_max_exp,attn_min_exp,attn_window_size,attn_lut_build,ffn_exp_dim,ffn_max_pos_exp,ffn_window_size,attn_segments,attn_segment_0,ffn_segments,ffn_segment_0,attn_degree_center,attn_degrees,ffn_min_pos_exp,ffn_lut_build
meta-llama/Llama-2-7b-hf,nlp,5.754334063454066,torch,True,False,CustomSoftmax,CustomSilu,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,8.0,-4.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,8.0,-3.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,8.0,-2.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,8.0,-1.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,12.947957034009669,vlp,True,False,VLPSoftmax,CustomSilu,8.0,0.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,6.714787735243895,vlp,True,False,VLPSoftmax,CustomSilu,8.0,1.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,6.281670144996944,vlp,True,False,VLPSoftmax,CustomSilu,8.0,2.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,6.89253900733442,vlp,True,False,VLPSoftmax,CustomSilu,8.0,3.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,6.926057127660295,vlp,True,False,VLPSoftmax,CustomSilu,8.0,4.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,9.0,-4.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,9.0,-3.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,9.0,-2.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,9.0,-1.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,12.9472589422493,vlp,True,False,VLPSoftmax,CustomSilu,9.0,0.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,6.7150303948984185,vlp,True,False,VLPSoftmax,CustomSilu,9.0,1.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,6.282058694589872,vlp,True,False,VLPSoftmax,CustomSilu,9.0,2.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,6.887933998093934,vlp,True,False,VLPSoftmax,CustomSilu,9.0,3.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,6.90928091917767,vlp,True,False,VLPSoftmax,CustomSilu,9.0,4.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,10.0,-4.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,10.0,-3.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,10.0,-2.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,10.0,-1.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,12.9472589422493,vlp,True,False,VLPSoftmax,CustomSilu,10.0,0.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,6.715131029184252,vlp,True,False,VLPSoftmax,CustomSilu,10.0,1.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,6.281667577568548,vlp,True,False,VLPSoftmax,CustomSilu,10.0,2.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,6.888055757418057,vlp,True,False,VLPSoftmax,CustomSilu,10.0,3.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,6.904812648858241,vlp,True,False,VLPSoftmax,CustomSilu,10.0,4.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,11.0,-4.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,11.0,-3.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,11.0,-2.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,11.0,-1.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,12.9472589422493,vlp,True,False,VLPSoftmax,CustomSilu,11.0,0.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,6.715131029184252,vlp,True,False,VLPSoftmax,CustomSilu,11.0,1.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,6.281797661927604,vlp,True,False,VLPSoftmax,CustomSilu,11.0,2.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,6.888142562103959,vlp,True,False,VLPSoftmax,CustomSilu,11.0,3.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,6.904539967070953,vlp,True,False,VLPSoftmax,CustomSilu,11.0,4.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,12.0,-4.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,12.0,-3.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,12.0,-2.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,12.0,-1.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,12.9472589422493,vlp,True,False,VLPSoftmax,CustomSilu,12.0,0.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,6.715131029184252,vlp,True,False,VLPSoftmax,CustomSilu,12.0,1.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,6.281797661927604,vlp,True,False,VLPSoftmax,CustomSilu,12.0,2.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,6.88817728428462,vlp,True,False,VLPSoftmax,CustomSilu,12.0,3.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,6.904293281053852,vlp,True,False,VLPSoftmax,CustomSilu,12.0,4.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,21037.08606422554,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,-4.0,256.0,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,13943.904938765192,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,-3.0,256.0,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,289.0558476534217,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,-2.0,256.0,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,13.364978986729662,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,-1.0,256.0,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,6.367528224969097,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,0.0,256.0,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,5.761498970018384,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,1.0,256.0,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,5.7602006261231375,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,2.0,256.0,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,5.764045099163894,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,3.0,256.0,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,5.806548130400137,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,4.0,256.0,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,21011.295741900936,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,9.0,-4.0,256.0,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,13953.159578200944,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,9.0,-3.0,256.0,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,289.9450314510654,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,9.0,-2.0,256.0,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,13.356917400960237,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,9.0,-1.0,256.0,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,6.367227966231405,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,9.0,0.0,256.0,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,5.761247401618443,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,9.0,1.0,256.0,,,,,,,,
meta-llama/Llama-2-7b-hf,nlp,5.759730178684105,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,9.0,2.0,256.0,,,,,,,,
