model,modality,value,function_name,patch_attention,patch_ffn,attn_fn,ffn_fn,attn_exp_dim,attn_max_exp,attn_min_exp,attn_window_size,attn_lut_build
meta-llama/Llama-3.1-70B,nlp,5.696068155014244,torch,True,False,CustomSoftmax,CustomSilu,,,,,
meta-llama/Llama-3.1-70B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,8.0,-5.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,8.0,-4.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,8.0,-3.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,8.0,-2.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,8.0,-1.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,9.0,-5.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,9.0,-4.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,9.0,-3.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,9.0,-2.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,9.0,-1.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,10.0,-5.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,10.0,-4.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,10.0,-3.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,10.0,-2.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,10.0,-1.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,11.0,-5.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,11.0,-4.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,11.0,-3.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,11.0,-2.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,11.0,-1.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,12.0,-5.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,12.0,-4.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,12.0,-3.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,12.0,-2.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,12.0,-1.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,18.491801240553592,vlp,True,False,VLPSoftmax,CustomSilu,8.0,0.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,8.835062146278771,vlp,True,False,VLPSoftmax,CustomSilu,8.0,1.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,14.669672019344477,vlp,True,False,VLPSoftmax,CustomSilu,8.0,2.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,38.31972480232567,vlp,True,False,VLPSoftmax,CustomSilu,8.0,3.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,38.4712716564274,vlp,True,False,VLPSoftmax,CustomSilu,8.0,4.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,18.497894771852906,vlp,True,False,VLPSoftmax,CustomSilu,9.0,0.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,8.493984796089329,vlp,True,False,VLPSoftmax,CustomSilu,9.0,1.0,-4.0,256.0,max
meta-llama/Llama-3.1-70B,nlp,14.711670807274745,vlp,True,False,VLPSoftmax,CustomSilu,9.0,2.0,-4.0,256.0,max
