model,modality,value,function_name,patch_attention,patch_ffn,attn_fn,ffn_fn,attn_exp_dim,attn_max_exp,attn_min_exp,attn_window_size,attn_lut_build,ffn_exp_dim,ffn_max_pos_exp,ffn_window_size,attn_segments,attn_segment_0,ffn_segments,ffn_segment_0,attn_degree_center,attn_degrees,ffn_min_pos_exp,ffn_lut_build
openai/whisper-base,audio,5.322137455434696,torch,True,False,CustomSoftmax,CustomGelu,,,,,,,,,,,,,,,,
openai/whisper-base,audio,,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-4.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-3.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-2.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-1.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,13.96729813824377,vlp,True,False,VLPSoftmax,CustomGelu,8.0,0.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,5.544966753375748,vlp,True,False,VLPSoftmax,CustomGelu,8.0,1.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,5.369120218944728,vlp,True,False,VLPSoftmax,CustomGelu,8.0,2.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,5.384873127618627,vlp,True,False,VLPSoftmax,CustomGelu,8.0,3.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,5.384873127618627,vlp,True,False,VLPSoftmax,CustomGelu,8.0,4.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,,vlp,True,False,VLPSoftmax,CustomGelu,9.0,-4.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,,vlp,True,False,VLPSoftmax,CustomGelu,9.0,-3.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,,vlp,True,False,VLPSoftmax,CustomGelu,9.0,-2.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,,vlp,True,False,VLPSoftmax,CustomGelu,9.0,-1.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,13.96729813824377,vlp,True,False,VLPSoftmax,CustomGelu,9.0,0.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,5.544966753375748,vlp,True,False,VLPSoftmax,CustomGelu,9.0,1.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,5.369120218944728,vlp,True,False,VLPSoftmax,CustomGelu,9.0,2.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,5.379617029326897,vlp,True,False,VLPSoftmax,CustomGelu,9.0,3.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,5.369120218944728,vlp,True,False,VLPSoftmax,CustomGelu,9.0,4.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,,vlp,True,False,VLPSoftmax,CustomGelu,10.0,-4.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,,vlp,True,False,VLPSoftmax,CustomGelu,10.0,-3.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,,vlp,True,False,VLPSoftmax,CustomGelu,10.0,-2.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,,vlp,True,False,VLPSoftmax,CustomGelu,10.0,-1.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,13.96729813824377,vlp,True,False,VLPSoftmax,CustomGelu,10.0,0.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,5.544966753375748,vlp,True,False,VLPSoftmax,CustomGelu,10.0,1.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,5.369120218944728,vlp,True,False,VLPSoftmax,CustomGelu,10.0,2.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,5.379617029326897,vlp,True,False,VLPSoftmax,CustomGelu,10.0,3.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,5.374366061438169,vlp,True,False,VLPSoftmax,CustomGelu,10.0,4.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,,vlp,True,False,VLPSoftmax,CustomGelu,11.0,-4.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,,vlp,True,False,VLPSoftmax,CustomGelu,11.0,-3.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,,vlp,True,False,VLPSoftmax,CustomGelu,11.0,-2.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,,vlp,True,False,VLPSoftmax,CustomGelu,11.0,-1.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,13.96729813824377,vlp,True,False,VLPSoftmax,CustomGelu,11.0,0.0,-4.0,256.0,max,,,,,,,,,,,
openai/whisper-base,audio,5.544966753375748,vlp,True,False,VLPSoftmax,CustomGelu,11.0,1.0,-4.0,256.0,max,,,,,,,,,,,
