model,modality,value,function_name,patch_attention,patch_ffn,attn_fn,ffn_fn,attn_exp_dim,attn_max_exp,attn_min_exp,attn_window_size,attn_lut_build,ffn_exp_dim,ffn_max_pos_exp,ffn_window_size,attn_segments,attn_segment_0,ffn_segments,ffn_segment_0,attn_degree_center,attn_degrees
google/vivit-b-16x2,video,1.77392578125,torch,True,False,CustomSoftmax,CustomFastGelu,,,,,,,,,,,,,,
google/vivit-b-16x2,video,,vlp,True,False,VLPSoftmax,CustomFastGelu,8.0,-4.0,-4.0,256.0,max,,,,,,,,,
google/vivit-b-16x2,video,,vlp,True,False,VLPSoftmax,CustomFastGelu,8.0,-3.0,-4.0,256.0,max,,,,,,,,,
google/vivit-b-16x2,video,,vlp,True,False,VLPSoftmax,CustomFastGelu,8.0,-2.0,-4.0,256.0,max,,,,,,,,,
google/vivit-b-16x2,video,,vlp,True,False,VLPSoftmax,CustomFastGelu,8.0,-1.0,-4.0,256.0,max,,,,,,,,,
google/vivit-b-16x2,video,3.375,vlp,True,False,VLPSoftmax,CustomFastGelu,8.0,0.0,-4.0,256.0,max,,,,,,,,,
google/vivit-b-16x2,video,2.00390625,vlp,True,False,VLPSoftmax,CustomFastGelu,8.0,1.0,-4.0,256.0,max,,,,,,,,,
google/vivit-b-16x2,video,1.759765625,vlp,True,False,VLPSoftmax,CustomFastGelu,8.0,2.0,-4.0,256.0,max,,,,,,,,,
google/vivit-b-16x2,video,1.77197265625,vlp,True,False,VLPSoftmax,CustomFastGelu,8.0,3.0,-4.0,256.0,max,,,,,,,,,
google/vivit-b-16x2,video,1.7724609375,vlp,True,False,VLPSoftmax,CustomFastGelu,8.0,4.0,-4.0,256.0,max,,,,,,,,,
google/vivit-b-16x2,video,,vlp,True,False,VLPSoftmax,CustomFastGelu,9.0,-4.0,-4.0,256.0,max,,,,,,,,,
google/vivit-b-16x2,video,,vlp,True,False,VLPSoftmax,CustomFastGelu,9.0,-3.0,-4.0,256.0,max,,,,,,,,,
google/vivit-b-16x2,video,,vlp,True,False,VLPSoftmax,CustomFastGelu,9.0,-2.0,-4.0,256.0,max,,,,,,,,,
google/vivit-b-16x2,video,,vlp,True,False,VLPSoftmax,CustomFastGelu,9.0,-1.0,-4.0,256.0,max,,,,,,,,,
google/vivit-b-16x2,video,3.375,vlp,True,False,VLPSoftmax,CustomFastGelu,9.0,0.0,-4.0,256.0,max,,,,,,,,,
google/vivit-b-16x2,video,2.00390625,vlp,True,False,VLPSoftmax,CustomFastGelu,9.0,1.0,-4.0,256.0,max,,,,,,,,,
google/vivit-b-16x2,video,1.759765625,vlp,True,False,VLPSoftmax,CustomFastGelu,9.0,2.0,-4.0,256.0,max,,,,,,,,,
google/vivit-b-16x2,video,1.77197265625,vlp,True,False,VLPSoftmax,CustomFastGelu,9.0,3.0,-4.0,256.0,max,,,,,,,,,
google/vivit-b-16x2,video,1.7724609375,vlp,True,False,VLPSoftmax,CustomFastGelu,9.0,4.0,-4.0,256.0,max,,,,,,,,,
google/vivit-b-16x2,video,,vlp,True,False,VLPSoftmax,CustomFastGelu,10.0,-4.0,-4.0,256.0,max,,,,,,,,,
google/vivit-b-16x2,video,,vlp,True,False,VLPSoftmax,CustomFastGelu,10.0,-3.0,-4.0,256.0,max,,,,,,,,,
google/vivit-b-16x2,video,,vlp,True,False,VLPSoftmax,CustomFastGelu,10.0,-2.0,-4.0,256.0,max,,,,,,,,,
google/vivit-b-16x2,video,,vlp,True,False,VLPSoftmax,CustomFastGelu,10.0,-1.0,-4.0,256.0,max,,,,,,,,,
google/vivit-b-16x2,video,3.375,vlp,True,False,VLPSoftmax,CustomFastGelu,10.0,0.0,-4.0,256.0,max,,,,,,,,,
google/vivit-b-16x2,video,2.00390625,vlp,True,False,VLPSoftmax,CustomFastGelu,10.0,1.0,-4.0,256.0,max,,,,,,,,,
google/vivit-b-16x2,video,1.759765625,vlp,True,False,VLPSoftmax,CustomFastGelu,10.0,2.0,-4.0,256.0,max,,,,,,,,,
google/vivit-b-16x2,video,1.77197265625,vlp,True,False,VLPSoftmax,CustomFastGelu,10.0,3.0,-4.0,256.0,max,,,,,,,,,
