model,modality,value,function_name,patch_attention,patch_ffn,attn_fn,ffn_fn,ffn_exp_dim,ffn_max_pos_exp,ffn_min_pos_exp,ffn_window_size,ffn_lut_build
meta-llama/Llama-2-13b-hf,nlp,20230.972809596315,vlp,False,True,CustomSoftmax,VLPSilu,8,4,-8,256,min
meta-llama/Llama-2-13b-hf,nlp,23.81126621915748,vlp,False,True,CustomSoftmax,VLPSilu,8,4,-7,256,min
meta-llama/Llama-2-13b-hf,nlp,6.04006301550785,vlp,False,True,CustomSoftmax,VLPSilu,8,4,-6,256,min
meta-llama/Llama-2-13b-hf,nlp,5.3062743060151805,vlp,False,True,CustomSoftmax,VLPSilu,8,4,-5,256,min
meta-llama/Llama-2-13b-hf,nlp,5.240769526404706,vlp,False,True,CustomSoftmax,VLPSilu,8,4,-4,256,min
meta-llama/Llama-2-13b-hf,nlp,5.230592896947259,vlp,False,True,CustomSoftmax,VLPSilu,8,4,-3,256,min
meta-llama/Llama-2-13b-hf,nlp,5.361109011760672,vlp,False,True,CustomSoftmax,VLPSilu,8,4,-2,256,min
meta-llama/Llama-2-13b-hf,nlp,23.79470068030159,vlp,False,True,CustomSoftmax,VLPSilu,8,4,-1,256,min
meta-llama/Llama-2-13b-hf,nlp,1058.794508570874,vlp,False,True,CustomSoftmax,VLPSilu,8,4,0,256,min
meta-llama/Llama-2-13b-hf,nlp,63955.95465100944,vlp,False,True,CustomSoftmax,VLPSilu,8,4,1,256,min
meta-llama/Llama-2-13b-hf,nlp,135648.55248761066,vlp,False,True,CustomSoftmax,VLPSilu,8,4,2,256,min
meta-llama/Llama-2-13b-hf,nlp,15706.756612701824,vlp,False,True,CustomSoftmax,VLPSilu,9,4,-8,256,min
meta-llama/Llama-2-13b-hf,nlp,20.402772048869664,vlp,False,True,CustomSoftmax,VLPSilu,9,4,-7,256,min
meta-llama/Llama-2-13b-hf,nlp,6.021483440955387,vlp,False,True,CustomSoftmax,VLPSilu,9,4,-6,256,min
meta-llama/Llama-2-13b-hf,nlp,5.268913334650311,vlp,False,True,CustomSoftmax,VLPSilu,9,4,-5,256,min
meta-llama/Llama-2-13b-hf,nlp,5.2124498792157095,vlp,False,True,CustomSoftmax,VLPSilu,9,4,-4,256,min
meta-llama/Llama-2-13b-hf,nlp,5.215518373546616,vlp,False,True,CustomSoftmax,VLPSilu,9,4,-3,256,min
meta-llama/Llama-2-13b-hf,nlp,5.7806035059006255,vlp,False,True,CustomSoftmax,VLPSilu,9,4,-2,256,min
meta-llama/Llama-2-13b-hf,nlp,75.20895989792484,vlp,False,True,CustomSoftmax,VLPSilu,9,4,-1,256,min
meta-llama/Llama-2-13b-hf,nlp,1868.332105569815,vlp,False,True,CustomSoftmax,VLPSilu,9,4,0,256,min
meta-llama/Llama-2-13b-hf,nlp,65464.990495061975,vlp,False,True,CustomSoftmax,VLPSilu,9,4,1,256,min
meta-llama/Llama-2-13b-hf,nlp,130847.33450955478,vlp,False,True,CustomSoftmax,VLPSilu,9,4,2,256,min
