model,modality,value,function_name,patch_attention,patch_ffn,attn_fn,ffn_fn,ffn_exp_dim,ffn_max_pos_exp,ffn_window_size
meta-llama/Llama-2-70b-hf,nlp,4.357562539083992,torch,True,False,CustomSoftmax,CustomSilu,,,
meta-llama/Llama-2-70b-hf,nlp,12134.50448522093,vlp,False,True,CustomSoftmax,VLPSilu,8.0,-4.0,256.0
meta-llama/Llama-2-70b-hf,nlp,3255.6381482359034,vlp,False,True,CustomSoftmax,VLPSilu,8.0,-3.0,256.0
meta-llama/Llama-2-70b-hf,nlp,296.0486915077514,vlp,False,True,CustomSoftmax,VLPSilu,8.0,-2.0,256.0
meta-llama/Llama-2-70b-hf,nlp,19.98148622637629,vlp,False,True,CustomSoftmax,VLPSilu,8.0,-1.0,256.0
meta-llama/Llama-2-70b-hf,nlp,5.190841715652592,vlp,False,True,CustomSoftmax,VLPSilu,8.0,0.0,256.0
meta-llama/Llama-2-70b-hf,nlp,4.365602032629442,vlp,False,True,CustomSoftmax,VLPSilu,8.0,1.0,256.0
meta-llama/Llama-2-70b-hf,nlp,4.360733949825996,vlp,False,True,CustomSoftmax,VLPSilu,8.0,2.0,256.0
meta-llama/Llama-2-70b-hf,nlp,4.363276815337476,vlp,False,True,CustomSoftmax,VLPSilu,8.0,3.0,256.0
meta-llama/Llama-2-70b-hf,nlp,4.3851567340823605,vlp,False,True,CustomSoftmax,VLPSilu,8.0,4.0,256.0
meta-llama/Llama-2-70b-hf,nlp,12154.310823088821,vlp,False,True,CustomSoftmax,VLPSilu,9.0,-4.0,256.0
meta-llama/Llama-2-70b-hf,nlp,3251.6146649410434,vlp,False,True,CustomSoftmax,VLPSilu,9.0,-3.0,256.0
meta-llama/Llama-2-70b-hf,nlp,293.80650652781674,vlp,False,True,CustomSoftmax,VLPSilu,9.0,-2.0,256.0
meta-llama/Llama-2-70b-hf,nlp,19.998854131639675,vlp,False,True,CustomSoftmax,VLPSilu,9.0,-1.0,256.0
meta-llama/Llama-2-70b-hf,nlp,5.190807915934662,vlp,False,True,CustomSoftmax,VLPSilu,9.0,0.0,256.0
meta-llama/Llama-2-70b-hf,nlp,4.365402301873183,vlp,False,True,CustomSoftmax,VLPSilu,9.0,1.0,256.0
meta-llama/Llama-2-70b-hf,nlp,4.360812311739037,vlp,False,True,CustomSoftmax,VLPSilu,9.0,2.0,256.0
meta-llama/Llama-2-70b-hf,nlp,4.360705455580119,vlp,False,True,CustomSoftmax,VLPSilu,9.0,3.0,256.0
meta-llama/Llama-2-70b-hf,nlp,4.3635878819723946,vlp,False,True,CustomSoftmax,VLPSilu,9.0,4.0,256.0
meta-llama/Llama-2-70b-hf,nlp,12118.379339159463,vlp,False,True,CustomSoftmax,VLPSilu,10.0,-4.0,256.0
