model,modality,value,function_name,patch_attention,patch_ffn,attn_fn,ffn_fn,attn_segments,attn_segment_0
meta-llama/Llama-2-70b-hf,nlp,4.357561379223046,pwl,True,False,PWLSoftmax,CustomSilu,23,-16
meta-llama/Llama-2-70b-hf,nlp,4.35755524422122,pwl,True,False,PWLSoftmax,CustomSilu,23,-17
meta-llama/Llama-2-70b-hf,nlp,4.357788463075222,pwl,True,False,PWLSoftmax,CustomSilu,23,-18
meta-llama/Llama-2-70b-hf,nlp,4.3576847140636366,pwl,True,False,PWLSoftmax,CustomSilu,23,-19
meta-llama/Llama-2-70b-hf,nlp,4.357459330849467,pwl,True,False,PWLSoftmax,CustomSilu,23,-20
meta-llama/Llama-2-70b-hf,nlp,4.357645404723755,pwl,True,False,PWLSoftmax,CustomSilu,23,-21
meta-llama/Llama-2-70b-hf,nlp,4.357894948595343,pwl,True,False,PWLSoftmax,CustomSilu,23,-22
meta-llama/Llama-2-70b-hf,nlp,4.357813975613411,pwl,True,False,PWLSoftmax,CustomSilu,23,-23
meta-llama/Llama-2-70b-hf,nlp,4.357992320631826,pwl,True,False,PWLSoftmax,CustomSilu,23,-24
meta-llama/Llama-2-70b-hf,nlp,4.357682092169134,pwl,True,False,PWLSoftmax,CustomSilu,24,-16
meta-llama/Llama-2-70b-hf,nlp,4.357497269140174,pwl,True,False,PWLSoftmax,CustomSilu,24,-17
meta-llama/Llama-2-70b-hf,nlp,4.3576062835177245,pwl,True,False,PWLSoftmax,CustomSilu,24,-18
meta-llama/Llama-2-70b-hf,nlp,4.357849146169216,pwl,True,False,PWLSoftmax,CustomSilu,24,-19
meta-llama/Llama-2-70b-hf,nlp,4.357645276073316,pwl,True,False,PWLSoftmax,CustomSilu,24,-20
meta-llama/Llama-2-70b-hf,nlp,4.357503975947777,pwl,True,False,PWLSoftmax,CustomSilu,24,-21
meta-llama/Llama-2-70b-hf,nlp,4.357700426429769,pwl,True,False,PWLSoftmax,CustomSilu,24,-22
meta-llama/Llama-2-70b-hf,nlp,4.357830744398027,pwl,True,False,PWLSoftmax,CustomSilu,24,-23
meta-llama/Llama-2-70b-hf,nlp,4.3578164201482075,pwl,True,False,PWLSoftmax,CustomSilu,24,-24
meta-llama/Llama-2-70b-hf,nlp,4.357559691337781,pwl,True,False,PWLSoftmax,CustomSilu,25,-16
meta-llama/Llama-2-70b-hf,nlp,4.357485753627867,pwl,True,False,PWLSoftmax,CustomSilu,25,-17
meta-llama/Llama-2-70b-hf,nlp,4.357633165092192,pwl,True,False,PWLSoftmax,CustomSilu,25,-18
meta-llama/Llama-2-70b-hf,nlp,4.357600610980731,pwl,True,False,PWLSoftmax,CustomSilu,25,-19
meta-llama/Llama-2-70b-hf,nlp,4.357876963082562,pwl,True,False,PWLSoftmax,CustomSilu,25,-20
meta-llama/Llama-2-70b-hf,nlp,4.3575314650224515,pwl,True,False,PWLSoftmax,CustomSilu,25,-21
meta-llama/Llama-2-70b-hf,nlp,4.35758670898434,pwl,True,False,PWLSoftmax,CustomSilu,25,-22
meta-llama/Llama-2-70b-hf,nlp,4.3577733982893925,pwl,True,False,PWLSoftmax,CustomSilu,25,-23
meta-llama/Llama-2-70b-hf,nlp,4.35783871169667,pwl,True,False,PWLSoftmax,CustomSilu,25,-24
