model,modality,value,function_name,patch_attention,patch_ffn,attn_fn,ffn_fn,ffn_exp_dim,ffn_max_pos_exp,ffn_min_pos_exp,ffn_lut_build,ffn_window_size
meta-llama/Llama-2-70b-hf,nlp,12134.372445251593,vlp,False,True,CustomSoftmax,VLPSilu,8,-4,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,3255.137643400212,vlp,False,True,CustomSoftmax,VLPSilu,8,-3,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,295.9766232256947,vlp,False,True,CustomSoftmax,VLPSilu,8,-2,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,19.975210412225696,vlp,False,True,CustomSoftmax,VLPSilu,8,-1,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,12153.791603953512,vlp,False,True,CustomSoftmax,VLPSilu,9,-4,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,3251.9316161907086,vlp,False,True,CustomSoftmax,VLPSilu,9,-3,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,293.86735032250243,vlp,False,True,CustomSoftmax,VLPSilu,9,-2,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,20.001092998345165,vlp,False,True,CustomSoftmax,VLPSilu,9,-1,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,12120.188200417855,vlp,False,True,CustomSoftmax,VLPSilu,10,-4,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,3262.830802629197,vlp,False,True,CustomSoftmax,VLPSilu,10,-3,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,295.9251947219497,vlp,False,True,CustomSoftmax,VLPSilu,10,-2,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,19.99444565239085,vlp,False,True,CustomSoftmax,VLPSilu,10,-1,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,12148.498272184748,vlp,False,True,CustomSoftmax,VLPSilu,11,-4,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,3253.2572508970934,vlp,False,True,CustomSoftmax,VLPSilu,11,-3,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,295.95076320834227,vlp,False,True,CustomSoftmax,VLPSilu,11,-2,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,19.985585055582277,vlp,False,True,CustomSoftmax,VLPSilu,11,-1,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,12153.812930968597,vlp,False,True,CustomSoftmax,VLPSilu,12,-4,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,3269.3457772086967,vlp,False,True,CustomSoftmax,VLPSilu,12,-3,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,296.3526091739385,vlp,False,True,CustomSoftmax,VLPSilu,12,-2,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,19.976272326443656,vlp,False,True,CustomSoftmax,VLPSilu,12,-1,-4,max,256
