model,modality,value,function_name,patch_attention,patch_ffn,attn_fn,ffn_fn,attn_exp_dim,attn_max_exp,attn_min_exp,attn_window_size,attn_lut_build
meta-llama/Llama-2-70b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,8,4,-8,256,min
meta-llama/Llama-2-70b-hf,nlp,9.115064811554495,vlp,True,False,VLPSoftmax,CustomSilu,8,4,-7,256,min
meta-llama/Llama-2-70b-hf,nlp,4.667997663184029,vlp,True,False,VLPSoftmax,CustomSilu,8,4,-6,256,min
meta-llama/Llama-2-70b-hf,nlp,4.9363977309983955,vlp,True,False,VLPSoftmax,CustomSilu,8,4,-5,256,min
meta-llama/Llama-2-70b-hf,nlp,5.356057139392761,vlp,True,False,VLPSoftmax,CustomSilu,8,4,-4,256,min
meta-llama/Llama-2-70b-hf,nlp,9.049248501778692,vlp,True,False,VLPSoftmax,CustomSilu,9,4,-8,256,min
meta-llama/Llama-2-70b-hf,nlp,4.668982002854645,vlp,True,False,VLPSoftmax,CustomSilu,9,4,-7,256,min
meta-llama/Llama-2-70b-hf,nlp,4.902661338692027,vlp,True,False,VLPSoftmax,CustomSilu,9,4,-6,256,min
meta-llama/Llama-2-70b-hf,nlp,5.294656421174184,vlp,True,False,VLPSoftmax,CustomSilu,9,4,-5,256,min
meta-llama/Llama-2-70b-hf,nlp,5.330266196078401,vlp,True,False,VLPSoftmax,CustomSilu,9,4,-4,256,min
meta-llama/Llama-2-70b-hf,nlp,4.668246933030875,vlp,True,False,VLPSoftmax,CustomSilu,10,4,-8,256,min
meta-llama/Llama-2-70b-hf,nlp,4.942617189834877,vlp,True,False,VLPSoftmax,CustomSilu,10,4,-7,256,min
meta-llama/Llama-2-70b-hf,nlp,7.17735290079965,vlp,True,False,VLPSoftmax,CustomSilu,10,4,-6,256,min
meta-llama/Llama-2-70b-hf,nlp,5.282361537676005,vlp,True,False,VLPSoftmax,CustomSilu,10,4,-5,256,min
meta-llama/Llama-2-70b-hf,nlp,5.344402730038373,vlp,True,False,VLPSoftmax,CustomSilu,10,4,-4,256,min
meta-llama/Llama-2-70b-hf,nlp,4.8924323894016295,vlp,True,False,VLPSoftmax,CustomSilu,11,4,-8,256,min
meta-llama/Llama-2-70b-hf,nlp,13.007269153274649,vlp,True,False,VLPSoftmax,CustomSilu,11,4,-7,256,min
meta-llama/Llama-2-70b-hf,nlp,18.81308635422611,vlp,True,False,VLPSoftmax,CustomSilu,11,4,-6,256,min
meta-llama/Llama-2-70b-hf,nlp,5.355117299727263,vlp,True,False,VLPSoftmax,CustomSilu,11,4,-5,256,min
meta-llama/Llama-2-70b-hf,nlp,5.344064420231257,vlp,True,False,VLPSoftmax,CustomSilu,11,4,-4,256,min
meta-llama/Llama-2-70b-hf,nlp,14.153112491082478,vlp,True,False,VLPSoftmax,CustomSilu,12,4,-8,256,min
meta-llama/Llama-2-70b-hf,nlp,13.906671224541293,vlp,True,False,VLPSoftmax,CustomSilu,12,4,-7,256,min
meta-llama/Llama-2-70b-hf,nlp,19.40797563543543,vlp,True,False,VLPSoftmax,CustomSilu,12,4,-6,256,min
meta-llama/Llama-2-70b-hf,nlp,5.342577034643331,vlp,True,False,VLPSoftmax,CustomSilu,12,4,-5,256,min
meta-llama/Llama-2-70b-hf,nlp,5.344064420231257,vlp,True,False,VLPSoftmax,CustomSilu,12,4,-4,256,min
