model,modality,value,function_name,patch_attention,patch_ffn,attn_fn,ffn_fn,attn_exp_dim,attn_max_exp,attn_min_exp,attn_window_size,attn_lut_build
meta-llama/Llama-2-70b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,8,-5,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,8,-4,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,8,-3,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,8,-2,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,8,-1,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,9,-5,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,9,-4,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,9,-3,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,9,-2,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,9,-1,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,10,-5,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,10,-4,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,10,-3,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,10,-2,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,10,-1,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,11,-5,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,11,-4,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,11,-3,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,11,-2,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,11,-1,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,12,-5,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,12,-4,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,12,-3,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,12,-2,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,12,-1,-4,256,max
