model,modality,value,function_name,patch_attention,patch_ffn,attn_fn,ffn_fn,ffn_exp_dim,ffn_max_pos_exp,ffn_min_pos_exp,ffn_lut_build,ffn_window_size
meta-llama/Llama-3.1-70B,nlp,47359.99080149323,vlp,False,True,CustomSoftmax,VLPSilu,8,-4,-4,max,256
meta-llama/Llama-3.1-70B,nlp,32452.657464711425,vlp,False,True,CustomSoftmax,VLPSilu,8,-3,-4,max,256
meta-llama/Llama-3.1-70B,nlp,184651.63986777992,vlp,False,True,CustomSoftmax,VLPSilu,8,-2,-4,max,256
meta-llama/Llama-3.1-70B,nlp,10308.670255242387,vlp,False,True,CustomSoftmax,VLPSilu,8,-1,-4,max,256
meta-llama/Llama-3.1-70B,nlp,47285.001492570074,vlp,False,True,CustomSoftmax,VLPSilu,9,-4,-4,max,256
meta-llama/Llama-3.1-70B,nlp,32749.89344057505,vlp,False,True,CustomSoftmax,VLPSilu,9,-3,-4,max,256
meta-llama/Llama-3.1-70B,nlp,204645.33558406675,vlp,False,True,CustomSoftmax,VLPSilu,9,-2,-4,max,256
meta-llama/Llama-3.1-70B,nlp,10389.961869480743,vlp,False,True,CustomSoftmax,VLPSilu,9,-1,-4,max,256
meta-llama/Llama-3.1-70B,nlp,47226.785647541445,vlp,False,True,CustomSoftmax,VLPSilu,10,-4,-4,max,256
meta-llama/Llama-3.1-70B,nlp,32655.013054577452,vlp,False,True,CustomSoftmax,VLPSilu,10,-3,-4,max,256
meta-llama/Llama-3.1-70B,nlp,207554.14925232183,vlp,False,True,CustomSoftmax,VLPSilu,10,-2,-4,max,256
meta-llama/Llama-3.1-70B,nlp,10271.833078600554,vlp,False,True,CustomSoftmax,VLPSilu,10,-1,-4,max,256
meta-llama/Llama-3.1-70B,nlp,47271.05311837392,vlp,False,True,CustomSoftmax,VLPSilu,11,-4,-4,max,256
meta-llama/Llama-3.1-70B,nlp,32638.68240785756,vlp,False,True,CustomSoftmax,VLPSilu,11,-3,-4,max,256
meta-llama/Llama-3.1-70B,nlp,185459.55199318787,vlp,False,True,CustomSoftmax,VLPSilu,11,-2,-4,max,256
meta-llama/Llama-3.1-70B,nlp,9639.745949528453,vlp,False,True,CustomSoftmax,VLPSilu,11,-1,-4,max,256
meta-llama/Llama-3.1-70B,nlp,47398.153830310606,vlp,False,True,CustomSoftmax,VLPSilu,12,-4,-4,max,256
meta-llama/Llama-3.1-70B,nlp,32705.65469646286,vlp,False,True,CustomSoftmax,VLPSilu,12,-3,-4,max,256
meta-llama/Llama-3.1-70B,nlp,189836.4461941619,vlp,False,True,CustomSoftmax,VLPSilu,12,-2,-4,max,256
meta-llama/Llama-3.1-70B,nlp,10169.737049923122,vlp,False,True,CustomSoftmax,VLPSilu,12,-1,-4,max,256
