model,modality,value,function_name,patch_attention,patch_ffn,attn_fn,ffn_fn,attn_exp_dim,attn_max_exp,attn_min_exp,attn_window_size,attn_lut_build,ffn_exp_dim,ffn_max_pos_exp,ffn_min_pos_exp,ffn_lut_build,ffn_window_size,attn_segments,attn_segment_0,ffn_segments,ffn_segment_0,attn_degree_center,attn_degrees
meta-llama/Llama-3.1-8B,nlp,7.451212014328582,torch,True,False,CustomSoftmax,CustomSilu,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,8.0,-5.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,8.0,-4.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,8.0,-3.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,8.0,-2.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,8.0,-1.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,9.0,-5.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,9.0,-4.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,9.0,-3.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,9.0,-2.0,-4.0,256.0,max,,,,,,,,,,,
meta-llama/Llama-3.1-8B,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,9.0,-1.0,-4.0,256.0,max,,,,,,,,,,,
