model,modality,value,function_name,patch_attention,patch_ffn,attn_fn,ffn_fn,attn_exp_dim,attn_max_exp,attn_min_exp,attn_window_size,attn_lut_build
meta-llama/Llama-3.1-8B,nlp,12669.736350710302,vlp,True,False,VLPSoftmax,CustomSilu,8,4,2,256,min
meta-llama/Llama-3.1-8B,nlp,303.99995969292155,vlp,True,False,VLPSoftmax,CustomSilu,8,4,3,256,min
meta-llama/Llama-3.1-8B,nlp,21138.30320258718,vlp,True,False,VLPSoftmax,CustomSilu,8,4,4,256,min
meta-llama/Llama-3.1-8B,nlp,21355.027945967275,vlp,True,False,VLPSoftmax,CustomSilu,8,4,5,256,min
meta-llama/Llama-3.1-8B,nlp,21355.027945967275,vlp,True,False,VLPSoftmax,CustomSilu,8,4,6,256,min
meta-llama/Llama-3.1-8B,nlp,12669.736350710302,vlp,True,False,VLPSoftmax,CustomSilu,9,4,2,256,min
meta-llama/Llama-3.1-8B,nlp,303.99995969292155,vlp,True,False,VLPSoftmax,CustomSilu,9,4,3,256,min
meta-llama/Llama-3.1-8B,nlp,21138.30320258718,vlp,True,False,VLPSoftmax,CustomSilu,9,4,4,256,min
meta-llama/Llama-3.1-8B,nlp,21355.027945967275,vlp,True,False,VLPSoftmax,CustomSilu,9,4,5,256,min
meta-llama/Llama-3.1-8B,nlp,21355.027945967275,vlp,True,False,VLPSoftmax,CustomSilu,9,4,6,256,min
meta-llama/Llama-3.1-8B,nlp,12669.736350710302,vlp,True,False,VLPSoftmax,CustomSilu,10,4,2,256,min
meta-llama/Llama-3.1-8B,nlp,303.99995969292155,vlp,True,False,VLPSoftmax,CustomSilu,10,4,3,256,min
meta-llama/Llama-3.1-8B,nlp,21138.30320258718,vlp,True,False,VLPSoftmax,CustomSilu,10,4,4,256,min
meta-llama/Llama-3.1-8B,nlp,21355.027945967275,vlp,True,False,VLPSoftmax,CustomSilu,10,4,5,256,min
meta-llama/Llama-3.1-8B,nlp,21355.027945967275,vlp,True,False,VLPSoftmax,CustomSilu,10,4,6,256,min
meta-llama/Llama-3.1-8B,nlp,12669.736350710302,vlp,True,False,VLPSoftmax,CustomSilu,11,4,2,256,min
meta-llama/Llama-3.1-8B,nlp,303.99995969292155,vlp,True,False,VLPSoftmax,CustomSilu,11,4,3,256,min
meta-llama/Llama-3.1-8B,nlp,21138.30320258718,vlp,True,False,VLPSoftmax,CustomSilu,11,4,4,256,min
meta-llama/Llama-3.1-8B,nlp,21355.027945967275,vlp,True,False,VLPSoftmax,CustomSilu,11,4,5,256,min
meta-llama/Llama-3.1-8B,nlp,21355.027945967275,vlp,True,False,VLPSoftmax,CustomSilu,11,4,6,256,min
meta-llama/Llama-3.1-8B,nlp,12669.736350710302,vlp,True,False,VLPSoftmax,CustomSilu,12,4,2,256,min
meta-llama/Llama-3.1-8B,nlp,303.99995969292155,vlp,True,False,VLPSoftmax,CustomSilu,12,4,3,256,min
meta-llama/Llama-3.1-8B,nlp,21138.30320258718,vlp,True,False,VLPSoftmax,CustomSilu,12,4,4,256,min
meta-llama/Llama-3.1-8B,nlp,21355.027945967275,vlp,True,False,VLPSoftmax,CustomSilu,12,4,5,256,min
meta-llama/Llama-3.1-8B,nlp,21355.027945967275,vlp,True,False,VLPSoftmax,CustomSilu,12,4,6,256,min
