model,modality,value,function_name,patch_attention,patch_ffn,attn_fn,ffn_fn,attn_exp_dim,attn_max_exp,attn_min_exp,attn_window_size,attn_lut_build,ffn_exp_dim,ffn_max_pos_exp,ffn_window_size,attn_segments,attn_segment_0,ffn_segments,ffn_segment_0,attn_degree_center,attn_degrees
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.71240234375,torch,True,False,CustomSoftmax,CustomGelu,,,,,,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-4.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-3.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-2.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-1.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,1.033203125,vlp,True,False,VLPSoftmax,CustomGelu,8.0,0.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.76513671875,vlp,True,False,VLPSoftmax,CustomGelu,8.0,1.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.7119140625,vlp,True,False,VLPSoftmax,CustomGelu,8.0,2.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.712890625,vlp,True,False,VLPSoftmax,CustomGelu,8.0,3.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.7138671875,vlp,True,False,VLPSoftmax,CustomGelu,8.0,4.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,,vlp,True,False,VLPSoftmax,CustomGelu,9.0,-4.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,,vlp,True,False,VLPSoftmax,CustomGelu,9.0,-3.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,,vlp,True,False,VLPSoftmax,CustomGelu,9.0,-2.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,,vlp,True,False,VLPSoftmax,CustomGelu,9.0,-1.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,1.033203125,vlp,True,False,VLPSoftmax,CustomGelu,9.0,0.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.76513671875,vlp,True,False,VLPSoftmax,CustomGelu,9.0,1.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.7119140625,vlp,True,False,VLPSoftmax,CustomGelu,9.0,2.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.712890625,vlp,True,False,VLPSoftmax,CustomGelu,9.0,3.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.71435546875,vlp,True,False,VLPSoftmax,CustomGelu,9.0,4.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,,vlp,True,False,VLPSoftmax,CustomGelu,10.0,-4.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,,vlp,True,False,VLPSoftmax,CustomGelu,10.0,-3.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,,vlp,True,False,VLPSoftmax,CustomGelu,10.0,-2.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,,vlp,True,False,VLPSoftmax,CustomGelu,10.0,-1.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,1.033203125,vlp,True,False,VLPSoftmax,CustomGelu,10.0,0.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.76513671875,vlp,True,False,VLPSoftmax,CustomGelu,10.0,1.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.7119140625,vlp,True,False,VLPSoftmax,CustomGelu,10.0,2.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.712890625,vlp,True,False,VLPSoftmax,CustomGelu,10.0,3.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.71435546875,vlp,True,False,VLPSoftmax,CustomGelu,10.0,4.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,,vlp,True,False,VLPSoftmax,CustomGelu,11.0,-4.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,,vlp,True,False,VLPSoftmax,CustomGelu,11.0,-3.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,,vlp,True,False,VLPSoftmax,CustomGelu,11.0,-2.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,,vlp,True,False,VLPSoftmax,CustomGelu,11.0,-1.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,1.033203125,vlp,True,False,VLPSoftmax,CustomGelu,11.0,0.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.76513671875,vlp,True,False,VLPSoftmax,CustomGelu,11.0,1.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.7119140625,vlp,True,False,VLPSoftmax,CustomGelu,11.0,2.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.712890625,vlp,True,False,VLPSoftmax,CustomGelu,11.0,3.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.71435546875,vlp,True,False,VLPSoftmax,CustomGelu,11.0,4.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,,vlp,True,False,VLPSoftmax,CustomGelu,12.0,-4.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,,vlp,True,False,VLPSoftmax,CustomGelu,12.0,-3.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,,vlp,True,False,VLPSoftmax,CustomGelu,12.0,-2.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,,vlp,True,False,VLPSoftmax,CustomGelu,12.0,-1.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,1.033203125,vlp,True,False,VLPSoftmax,CustomGelu,12.0,0.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.76513671875,vlp,True,False,VLPSoftmax,CustomGelu,12.0,1.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.7119140625,vlp,True,False,VLPSoftmax,CustomGelu,12.0,2.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.712890625,vlp,True,False,VLPSoftmax,CustomGelu,12.0,3.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.71435546875,vlp,True,False,VLPSoftmax,CustomGelu,12.0,4.0,-4.0,256.0,max,,,,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,6.42578125,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,8.0,-4.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,6.15625,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,8.0,-3.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,4.75,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,8.0,-2.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.8134765625,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,8.0,-1.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.72314453125,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,8.0,0.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.71240234375,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,8.0,1.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.71142578125,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,8.0,2.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.71142578125,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,8.0,3.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.7177734375,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,8.0,4.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,6.42578125,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,9.0,-4.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,6.15625,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,9.0,-3.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,4.7578125,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,9.0,-2.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.8212890625,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,9.0,-1.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.72314453125,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,9.0,0.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.7138671875,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,9.0,1.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.7138671875,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,9.0,2.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.7119140625,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,9.0,3.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.7119140625,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,9.0,4.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,6.42578125,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,10.0,-4.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,6.15625,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,10.0,-3.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,4.75,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,10.0,-2.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.818359375,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,10.0,-1.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.72412109375,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,10.0,0.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.71337890625,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,10.0,1.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.712890625,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,10.0,2.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.71337890625,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,10.0,3.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.71240234375,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,10.0,4.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,6.42578125,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,11.0,-4.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,6.15625,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,11.0,-3.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,4.75390625,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,11.0,-2.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.8173828125,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,11.0,-1.0,256.0,,,,,,
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,vision,0.7255859375,vlp,False,True,CustomSoftmax,VLPGelu,,,,,,11.0,0.0,256.0,,,,,,
