,x,y
0,-5.0,100.0
1,-4.96875,100.0
2,-4.96875,100.0
3,-4.9375,100.0
4,-4.90625,100.0
5,-4.90625,100.0
6,-4.875,100.0
7,-4.875,100.0
8,-4.84375,100.0
9,-4.8125,100.0
10,-4.8125,100.0
11,-4.78125,100.0
12,-4.75,100.0
13,-4.75,100.0
14,-4.71875,100.0
15,-4.71875,100.0
16,-4.6875,100.0
17,-4.65625,100.0
18,-4.65625,100.0
19,-4.625,100.0
20,-4.59375,100.0
21,-4.59375,100.0
22,-4.5625,100.0
23,-4.5625,100.0
24,-4.53125,100.0
25,-4.5,100.0
26,-4.5,100.0
27,-4.46875,100.0
28,-4.4375,100.0
29,-4.4375,100.0
30,-4.40625,100.0
31,-4.40625,100.0
32,-4.375,100.0
33,-4.34375,100.0
34,-4.34375,100.0
35,-4.3125,100.0
36,-4.28125,100.0
37,-4.28125,100.0
38,-4.25,100.0
39,-4.25,100.0
40,-4.21875,100.0
41,-4.1875,100.0
42,-4.1875,100.0
43,-4.15625,100.0
44,-4.125,100.0
45,-4.125,100.0
46,-4.09375,100.0
47,-4.09375,100.0
48,-4.0625,100.0
49,-4.03125,100.0
50,-4.03125,100.0
51,-4.0,100.0
52,-3.984375,100.0
53,-3.96875,100.0
54,-3.9375,100.0
55,-3.921875,92.0
56,-3.90625,81.0
57,-3.890625,70.5
58,-3.859375,51.25
59,-3.84375,42.5
60,-3.828125,33.75
61,-3.8125,26.125
62,-3.78125,12.25
63,-3.765625,6.09375
64,-3.75,-0.0
65,-3.734375,100.0
66,-3.703125,100.0
67,-3.6875,94.5
68,-3.671875,83.5
69,-3.65625,74.0
70,-3.625,55.5
71,-3.609375,47.0
72,-3.59375,38.25
73,-3.578125,31.5
74,-3.546875,17.625
75,-3.53125,11.5
76,-3.515625,5.4375
77,-3.5,-0.0
78,-3.46875,100.0
79,-3.453125,96.0
80,-3.4375,86.5
81,-3.421875,77.0
82,-3.390625,58.5
83,-3.375,50.75
84,-3.359375,43.0
85,-3.34375,36.0
86,-3.3125,22.375
87,-3.296875,16.625
88,-3.28125,10.8125
89,-3.265625,5.125
90,-3.234375,100.0
91,-3.21875,95.5
92,-3.203125,86.0
93,-3.1875,77.5
94,-3.15625,61.25
95,-3.140625,52.75
96,-3.125,46.0
97,-3.109375,39.25
98,-3.078125,26.75
99,-3.0625,20.875
100,-3.046875,15.125
101,-3.03125,9.9375
102,-3.0,-0.0
103,-2.984375,93.0
104,-2.96875,85.0
105,-2.9375,68.5
106,-2.921875,60.5
107,-2.90625,54.0
108,-2.890625,47.25
109,-2.859375,34.75
110,-2.84375,28.875
111,-2.828125,23.5
112,-2.8125,18.125
113,-2.78125,8.5
114,-2.765625,3.875
115,-2.75,-0.0
116,-2.734375,81.0
117,-2.703125,67.0
