,x,y
0,-5.0,-100.0
1,-4.97,-41.5
2,-4.97,-41.5
3,-4.938,-0.0
4,-4.906,22.25
5,-4.906,22.25
6,-4.875,45.5
7,-4.875,45.5
8,-4.844,57.75
9,-4.812,32.75
10,-4.812,32.75
11,-4.78,38.0
12,-4.75,38.25
13,-4.75,38.25
14,-4.72,35.5
15,-4.72,35.5
16,-4.688,33.5
17,-4.656,27.5
18,-4.656,27.5
19,-4.625,20.5
20,-4.594,14.25
21,-4.594,14.25
22,-4.562,7.22
23,-4.562,7.22
24,-4.53,-13.5
25,-4.5,-0.0
26,-4.5,-0.0
27,-4.47,8.81
28,-4.438,31.88
29,-4.438,31.88
30,-4.406,31.25
31,-4.406,31.25
32,-4.375,43.5
33,-4.344,38.0
34,-4.344,38.0
35,-4.312,31.5
36,-4.28,34.25
37,-4.28,34.25
38,-4.25,25.62
39,-4.25,25.62
40,-4.22,18.0
41,-4.188,16.12
42,-4.188,16.12
43,-4.156,7.812
44,-4.125,-0.0
45,-4.125,-0.0
46,-4.094,5.5
47,-4.094,5.5
48,-4.062,23.62
49,-4.03,36.25
50,-4.03,36.25
51,-4.0,44.25
52,-3.984,47.5
53,-3.969,49.5
54,-3.938,50.75
55,-3.922,50.5
56,-3.906,50.0
57,-3.89,41.25
58,-3.86,39.0
59,-3.844,37.75
60,-3.828,35.25
61,-3.812,33.5
62,-3.781,29.12
63,-3.766,26.75
64,-3.75,24.12
65,-3.734,21.75
66,-3.703,15.94
67,-3.688,9.56
68,-3.672,6.875
69,-3.656,4.5
70,-3.625,5.094
71,-3.61,10.375
72,-3.594,14.25
73,-3.578,18.5
74,-3.547,23.75
75,-3.531,25.62
76,-3.516,26.75
77,-3.5,27.75
78,-3.469,34.5
79,-3.453,33.75
80,-3.438,33.5
81,-3.422,32.5
82,-3.39,29.12
83,-3.375,27.5
84,-3.36,25.62
85,-3.344,23.75
86,-3.312,19.38
87,-3.297,17.62
88,-3.281,15.31
89,-3.266,12.81
90,-3.234,8.56
91,-3.219,5.875
92,-3.203,3.484
93,-3.188,-4.0
94,-3.156,6.688
95,-3.14,10.375
96,-3.125,5.5
97,-3.11,8.875
98,-3.078,14.25
99,-3.062,16.38
100,-3.047,17.75
101,-3.031,19.0
102,-3.0,14.25
103,-2.984,15.125
104,-2.969,15.81
105,-2.938,15.75
106,-2.922,14.94
107,-2.906,14.94
108,-2.89,14.25
109,-2.86,8.56
110,-2.844,7.72
111,-2.828,6.938
112,-2.812,5.75
113,-2.781,3.64
114,-2.766,2.328
115,-2.75,1.492
116,-2.734,2.86
117,-2.703,5.28
118,-2.688,11.375
119,-2.672,11.5
120,-2.656,11.625
121,-2.625,16.12
