,x,y
0,-5.0,-100.0
1,-4.97,-100.0
2,-4.97,-100.0
3,-4.938,-100.0
4,-4.906,-100.0
5,-4.906,-100.0
6,-4.875,-100.0
7,-4.875,-100.0
8,-4.844,-100.0
9,-4.812,-100.0
10,-4.812,-100.0
11,-4.78,-100.0
12,-4.75,-100.0
13,-4.75,-100.0
14,-4.72,-100.0
15,-4.72,-100.0
16,-4.688,-100.0
17,-4.656,-100.0
18,-4.656,-100.0
19,-4.625,-100.0
20,-4.594,-100.0
21,-4.594,-100.0
22,-4.562,-100.0
23,-4.562,-100.0
24,-4.53,-100.0
25,-4.5,-100.0
26,-4.5,-100.0
27,-4.47,-100.0
28,-4.438,-100.0
29,-4.438,-100.0
30,-4.406,-100.0
31,-4.406,-100.0
32,-4.375,-100.0
33,-4.344,-100.0
34,-4.344,-100.0
35,-4.312,-100.0
36,-4.28,-100.0
37,-4.28,-100.0
38,-4.25,-100.0
39,-4.25,-100.0
40,-4.22,-100.0
41,-4.188,-100.0
42,-4.188,-100.0
43,-4.156,-100.0
44,-4.125,-100.0
45,-4.125,-100.0
46,-4.094,-100.0
47,-4.094,-100.0
48,-4.062,-100.0
49,-4.03,-100.0
50,-4.03,-100.0
51,-4.0,-100.0
52,-3.984,-100.0
53,-3.969,-100.0
54,-3.938,-100.0
55,-3.922,-100.0
56,-3.906,-100.0
57,-3.89,-100.0
58,-3.86,-100.0
59,-3.844,-100.0
60,-3.828,-100.0
61,-3.812,-100.0
62,-3.781,-100.0
63,-3.766,-100.0
64,-3.75,-100.0
65,-3.734,-100.0
66,-3.703,-100.0
67,-3.688,-100.0
68,-3.672,-100.0
69,-3.656,-100.0
70,-3.625,-100.0
71,-3.61,-100.0
72,-3.594,-100.0
73,-3.578,-100.0
74,-3.547,-100.0
75,-3.531,-100.0
76,-3.516,-100.0
77,-3.5,-100.0
78,-3.469,-100.0
79,-3.453,-100.0
80,-3.438,-100.0
81,-3.422,-100.0
82,-3.39,-100.0
83,-3.375,-100.0
84,-3.36,-100.0
85,-3.344,-100.0
86,-3.312,-100.0
87,-3.297,-100.0
88,-3.281,-100.0
89,-3.266,-100.0
90,-3.234,-100.0
91,-3.219,-100.0
92,-3.203,-100.0
93,-3.188,-100.0
94,-3.156,-100.0
95,-3.14,-100.0
96,-3.125,-100.0
97,-3.11,-100.0
98,-3.078,-100.0
99,-3.062,-100.0
100,-3.047,-100.0
101,-3.031,-100.0
102,-3.0,-100.0
103,-2.984,-94.56
104,-2.969,-89.3
105,-2.938,-79.3
106,-2.922,-74.5
107,-2.906,-69.9
108,-2.89,-65.5
109,-2.86,-56.84
110,-2.844,-52.84
111,-2.828,-48.66
112,-2.812,-44.8
113,-2.781,-37.7
114,-2.766,-34.1
115,-2.75,-30.56
116,-2.734,-27.66
117,-2.703,-21.16
118,-2.688,-18.45
119,-2.672,-15.195
120,-2.656,-12.61
121,-2.625,-7.5
122,-2.61,-4.984
123,-2.594,-2.57
124,-2.578,-0.1342
125,-2.547,4.023
126,-2.531,5.758
127,-2.516,7.984
128,-2.5,10.17
129,-2.469,12.984
130,-2.453,15.08
131,-2.438,16.64
132,-2.422,18.25
133,-2.39,21.23
134,-2.375,22.22
135,-2.36,23.75
136,-2.344,24.69
137,-2.312,27.47
138,-2.297,28.44
139,-2.281,29.33
140,-2.266,30.2
141,-2.234,31.98
142,-2.219,32.8
143,-2.203,33.72
144,-2.188,34.53
145,-2.156,35.3
146,-2.14,36.16
147,-2.125,36.12
148,-2.11,36.88
149,-2.078,37.7
150,-2.062,38.5
151,-2.047,39.3
152,-2.031,39.28
153,-2.0,40.1
154,-1.984,40.03
155,-1.969,40.1
