,x,y
0,-5.0,100.0
1,-4.96875,100.0
2,-4.96875,100.0
3,-4.9375,100.0
4,-4.90625,100.0
5,-4.90625,100.0
6,-4.875,100.0
7,-4.875,100.0
8,-4.84375,100.0
9,-4.8125,100.0
10,-4.8125,100.0
11,-4.78125,100.0
12,-4.75,100.0
13,-4.75,100.0
14,-4.71875,100.0
15,-4.71875,100.0
16,-4.6875,100.0
17,-4.65625,100.0
18,-4.65625,100.0
19,-4.625,100.0
20,-4.59375,100.0
21,-4.59375,100.0
22,-4.5625,100.0
23,-4.5625,100.0
24,-4.53125,100.0
25,-4.5,100.0
26,-4.5,100.0
27,-4.46875,100.0
28,-4.4375,100.0
29,-4.4375,100.0
30,-4.40625,100.0
31,-4.40625,100.0
32,-4.375,100.0
33,-4.34375,100.0
34,-4.34375,100.0
35,-4.3125,100.0
36,-4.28125,100.0
37,-4.28125,100.0
38,-4.25,100.0
39,-4.25,100.0
40,-4.21875,100.0
41,-4.1875,100.0
42,-4.1875,100.0
43,-4.15625,100.0
44,-4.125,100.0
45,-4.125,100.0
46,-4.09375,100.0
47,-4.09375,100.0
48,-4.0625,100.0
49,-4.03125,100.0
50,-4.03125,100.0
51,-4.0,100.0
52,-3.984375,18.125
53,-3.96875,16.625
54,-3.9375,14.25
55,-3.921875,12.8125
56,-3.90625,11.375
57,-3.890625,10.0
58,-3.859375,7.96875
59,-3.84375,6.6875
60,-3.828125,5.40625
61,-3.8125,4.15625
62,-3.78125,1.734375
63,-3.765625,0.5703125
64,-3.75,-0.0
65,-3.734375,18.0
66,-3.703125,15.4375
67,-3.6875,14.1875
68,-3.671875,12.875
69,-3.65625,11.125
70,-3.625,8.8125
71,-3.609375,7.71875
72,-3.59375,6.59375
73,-3.578125,5.53125
74,-3.546875,3.4375
75,-3.53125,1.9375
76,-3.515625,0.96484375
77,-3.5,-0.0
78,-3.46875,15.8125
79,-3.453125,14.75
80,-3.4375,13.6875
81,-3.421875,12.1875
82,-3.390625,10.125
83,-3.375,8.75
84,-3.359375,7.8125
85,-3.34375,6.40625
86,-3.3125,4.625
87,-3.296875,3.3125
88,-3.28125,2.46875
89,-3.265625,1.21875
90,-3.234375,16.25
91,-3.21875,14.9375
92,-3.203125,14.0625
93,-3.1875,13.1875
94,-3.15625,10.625
95,-3.140625,9.75
96,-3.125,8.125
97,-3.109375,7.375
98,-3.078125,5.03125
99,-3.0625,4.3125
100,-3.046875,2.8125
101,-3.03125,2.09375
102,-3.0,-0.0
103,-2.984375,14.9375
104,-2.96875,13.375
105,-2.9375,11.9375
106,-2.921875,10.4375
107,-2.90625,9.6875
108,-2.890625,8.375
109,-2.859375,6.3125
110,-2.84375,5.625
111,-2.828125,4.3125
112,-2.8125,3.6875
113,-2.78125,1.8046875
