,x,y
0,-5.0,-100.0
1,-4.97,-88.5
2,-4.97,-88.5
3,-4.938,-77.5
4,-4.906,-67.5
5,-4.906,-67.5
6,-4.875,-68.5
7,-4.875,-68.5
8,-4.844,-58.5
9,-4.812,-49.5
10,-4.812,-49.5
11,-4.78,-41.0
12,-4.75,-37.75
13,-4.75,-37.75
14,-4.72,-29.88
15,-4.72,-29.88
16,-4.688,-22.25
17,-4.656,-20.0
18,-4.656,-20.0
19,-4.625,-13.06
20,-4.594,-6.406
21,-4.594,-6.406
22,-4.562,-4.656
23,-4.562,-4.656
24,-4.53,1.008
25,-4.5,2.469
26,-4.5,2.469
27,-4.47,2.422
28,-4.438,3.781
29,-4.438,3.781
30,-4.406,2.75
31,-4.406,2.75
32,-4.375,2.25
33,-4.344,3.516
34,-4.344,3.516
35,-4.312,2.562
36,-4.28,2.094
37,-4.28,2.094
38,-4.25,2.86
39,-4.25,2.86
40,-4.22,1.992
41,-4.188,3.125
42,-4.188,3.125
43,-4.156,2.297
44,-4.125,1.492
45,-4.125,1.492
46,-4.094,-0.0
47,-4.094,-0.0
48,-4.062,-0.707
49,-4.03,-0.0
50,-4.03,-0.0
51,-4.0,0.6797
52,-3.984,0.672
53,-3.969,0.664
54,-3.938,1.297
55,-3.922,1.281
56,-3.906,-0.0
57,-3.89,-0.0
58,-3.86,0.6133
59,-3.844,0.6055
60,-3.828,0.5977
61,-3.812,0.5938
62,-3.781,0.578
63,-3.766,0.5703
64,-3.75,1.133
65,-3.734,1.125
66,-3.703,-0.0
67,-3.688,-0.0
68,-3.672,-0.0
69,-3.656,-0.5273
70,-3.625,1.555
71,-3.61,0.5117
72,-3.594,1.523
73,-3.578,2.516
74,-3.547,2.469
75,-3.531,0.9688
76,-3.516,1.93
77,-3.5,0.953
78,-3.469,2.328
79,-3.453,1.383
80,-3.438,2.281
81,-3.422,1.805
82,-3.39,1.773
83,-3.375,1.3125
84,-3.36,1.297
85,-3.344,1.711
86,-3.312,1.6875
87,-3.297,1.242
88,-3.281,1.234
89,-3.266,0.8125
90,-3.234,1.195
91,-3.219,0.789
92,-3.203,0.7812
93,-3.188,0.7734
94,-3.156,-0.0
95,-3.14,0.75
96,-3.125,-0.742
97,-3.11,-0.0
98,-3.078,0.7188
99,-3.062,-0.0
100,-3.047,-0.0
101,-3.031,0.699
102,-3.0,-0.0
103,-2.984,0.6797
104,-2.969,0.672
105,-2.938,0.664
106,-2.922,0.6523
107,-2.906,1.297
108,-2.89,-0.0
109,-2.86,0.629
110,-2.844,-0.0
111,-2.828,-0.0
112,-2.812,0.6133
113,-2.781,-0.0
114,-2.766,-0.0
115,-2.75,0.5938
116,-2.734,-0.586
117,-2.703,-1.148
118,-2.688,-0.5703
119,-2.672,-0.5664
120,-2.656,-0.0
121,-2.625,-1.102
122,-2.61,-0.547
123,-2.594,-0.539
124,-2.578,-1.078
125,-2.547,-0.5273
126,-2.531,-0.5234
127,-2.516,-1.039
128,-2.5,-0.5156
129,-2.469,-0.508
130,-2.453,-1.008
131,-2.438,-0.996
132,-2.422,-0.4941
133,-2.39,-0.4883
134,-2.375,-0.965
