model,modality,value,function_name,patch_attention,patch_ffn,attn_fn,ffn_fn,attn_exp_dim,attn_max_exp,attn_min_exp,attn_window_size,attn_lut_build,ffn_exp_dim,ffn_max_pos_exp,ffn_min_pos_exp,ffn_window_size,ffn_lut_build,attn_segments,attn_segment_0,ffn_segments,ffn_segment_0,attn_degree_center,attn_degrees
openai/whisper-tiny,audio,22.232662691545976,torch,True,False,CustomSoftmax,CustomGelu,,,,,,,,,,,,,,,,
openai/whisper-tiny,audio,,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-2.0,-2.0,256.0,max,,,,,,,,,,,
openai/whisper-tiny,audio,26.401940203271806,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-2.0,-2.0,256.0,min,,,,,,,,,,,
openai/whisper-tiny,audio,,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-2.0,-1.0,256.0,max,,,,,,,,,,,
openai/whisper-tiny,audio,20.282645623050005,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-2.0,-1.0,256.0,min,,,,,,,,,,,
openai/whisper-tiny,audio,,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-2.0,0.0,256.0,max,,,,,,,,,,,
openai/whisper-tiny,audio,11.993621898152476,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-2.0,0.0,256.0,min,,,,,,,,,,,
openai/whisper-tiny,audio,,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-2.0,1.0,256.0,max,,,,,,,,,,,
openai/whisper-tiny,audio,11.092286978670202,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-2.0,1.0,256.0,min,,,,,,,,,,,
openai/whisper-tiny,audio,,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-2.0,2.0,256.0,max,,,,,,,,,,,
openai/whisper-tiny,audio,35.806340977539655,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-2.0,2.0,256.0,min,,,,,,,,,,,
openai/whisper-tiny,audio,,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-1.0,-2.0,256.0,max,,,,,,,,,,,
openai/whisper-tiny,audio,26.401940203271806,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-1.0,-2.0,256.0,min,,,,,,,,,,,
openai/whisper-tiny,audio,,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-1.0,-1.0,256.0,max,,,,,,,,,,,
openai/whisper-tiny,audio,20.282645623050005,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-1.0,-1.0,256.0,min,,,,,,,,,,,
openai/whisper-tiny,audio,,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-1.0,0.0,256.0,max,,,,,,,,,,,
openai/whisper-tiny,audio,11.993621898152476,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-1.0,0.0,256.0,min,,,,,,,,,,,
openai/whisper-tiny,audio,,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-1.0,1.0,256.0,max,,,,,,,,,,,
openai/whisper-tiny,audio,11.092286978670202,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-1.0,1.0,256.0,min,,,,,,,,,,,
openai/whisper-tiny,audio,,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-1.0,2.0,256.0,max,,,,,,,,,,,
openai/whisper-tiny,audio,35.806340977539655,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-1.0,2.0,256.0,min,,,,,,,,,,,
openai/whisper-tiny,audio,434.50990901347194,vlp,True,False,VLPSoftmax,CustomGelu,8.0,0.0,-2.0,256.0,max,,,,,,,,,,,
openai/whisper-tiny,audio,26.401940203271806,vlp,True,False,VLPSoftmax,CustomGelu,8.0,0.0,-2.0,256.0,min,,,,,,,,,,,
openai/whisper-tiny,audio,434.50990901347194,vlp,True,False,VLPSoftmax,CustomGelu,8.0,0.0,-1.0,256.0,max,,,,,,,,,,,
openai/whisper-tiny,audio,20.282645623050005,vlp,True,False,VLPSoftmax,CustomGelu,8.0,0.0,-1.0,256.0,min,,,,,,,,,,,
openai/whisper-tiny,audio,434.50990901347194,vlp,True,False,VLPSoftmax,CustomGelu,8.0,0.0,0.0,256.0,max,,,,,,,,,,,
openai/whisper-tiny,audio,11.993621898152476,vlp,True,False,VLPSoftmax,CustomGelu,8.0,0.0,0.0,256.0,min,,,,,,,,,,,
openai/whisper-tiny,audio,434.50990901347194,vlp,True,False,VLPSoftmax,CustomGelu,8.0,0.0,1.0,256.0,max,,,,,,,,,,,
openai/whisper-tiny,audio,11.092286978670202,vlp,True,False,VLPSoftmax,CustomGelu,8.0,0.0,1.0,256.0,min,,,,,,,,,,,
openai/whisper-tiny,audio,434.50990901347194,vlp,True,False,VLPSoftmax,CustomGelu,8.0,0.0,2.0,256.0,max,,,,,,,,,,,
openai/whisper-tiny,audio,35.806340977539655,vlp,True,False,VLPSoftmax,CustomGelu,8.0,0.0,2.0,256.0,min,,,,,,,,,,,
openai/whisper-tiny,audio,28.2698785323965,vlp,True,False,VLPSoftmax,CustomGelu,8.0,1.0,-2.0,256.0,max,,,,,,,,,,,
openai/whisper-tiny,audio,26.401940203271806,vlp,True,False,VLPSoftmax,CustomGelu,8.0,1.0,-2.0,256.0,min,,,,,,,,,,,
openai/whisper-tiny,audio,28.2698785323965,vlp,True,False,VLPSoftmax,CustomGelu,8.0,1.0,-1.0,256.0,max,,,,,,,,,,,
openai/whisper-tiny,audio,20.282645623050005,vlp,True,False,VLPSoftmax,CustomGelu,8.0,1.0,-1.0,256.0,min,,,,,,,,,,,
openai/whisper-tiny,audio,28.2698785323965,vlp,True,False,VLPSoftmax,CustomGelu,8.0,1.0,0.0,256.0,max,,,,,,,,,,,
