model,modality,value,function_name,patch_attention,patch_ffn,attn_fn,ffn_fn,attn_exp_dim,attn_max_exp,attn_min_exp,attn_window_size,attn_lut_build,ffn_exp_dim,ffn_max_pos_exp,ffn_window_size,attn_segments,attn_segment_0,ffn_segments,ffn_segment_0,attn_degree_center,attn_degrees
meta-llama/Llama-2-13b-hf,nlp,5.192732655174028,torch,True,False,CustomSoftmax,CustomSilu,,,,,,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,8.0,-4.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,8.0,-3.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,8.0,-2.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,8.0,-1.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,499.421906462308,vlp,True,False,VLPSoftmax,CustomSilu,8.0,0.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,6.71019102627459,vlp,True,False,VLPSoftmax,CustomSilu,8.0,1.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,5.9918973958154975,vlp,True,False,VLPSoftmax,CustomSilu,8.0,2.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,6.534338425892118,vlp,True,False,VLPSoftmax,CustomSilu,8.0,3.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,6.535842525156907,vlp,True,False,VLPSoftmax,CustomSilu,8.0,4.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,9.0,-4.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,9.0,-3.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,9.0,-2.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,9.0,-1.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,499.421906462308,vlp,True,False,VLPSoftmax,CustomSilu,9.0,0.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,6.710361890743578,vlp,True,False,VLPSoftmax,CustomSilu,9.0,1.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,5.991458695061586,vlp,True,False,VLPSoftmax,CustomSilu,9.0,2.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,6.534844375998833,vlp,True,False,VLPSoftmax,CustomSilu,9.0,3.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,6.5379947672745375,vlp,True,False,VLPSoftmax,CustomSilu,9.0,4.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,10.0,-4.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,10.0,-3.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,10.0,-2.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,10.0,-1.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,499.421906462308,vlp,True,False,VLPSoftmax,CustomSilu,10.0,0.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,6.710361890743578,vlp,True,False,VLPSoftmax,CustomSilu,10.0,1.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,5.991376986844801,vlp,True,False,VLPSoftmax,CustomSilu,10.0,2.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,6.534766163445682,vlp,True,False,VLPSoftmax,CustomSilu,10.0,3.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,6.538944054913413,vlp,True,False,VLPSoftmax,CustomSilu,10.0,4.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,11.0,-4.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,11.0,-3.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,11.0,-2.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,11.0,-1.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,499.421906462308,vlp,True,False,VLPSoftmax,CustomSilu,11.0,0.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,6.710361890743578,vlp,True,False,VLPSoftmax,CustomSilu,11.0,1.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,5.991376986844801,vlp,True,False,VLPSoftmax,CustomSilu,11.0,2.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,6.534954217917879,vlp,True,False,VLPSoftmax,CustomSilu,11.0,3.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,6.538483774666072,vlp,True,False,VLPSoftmax,CustomSilu,11.0,4.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,12.0,-4.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,12.0,-3.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,12.0,-2.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,,vlp,True,False,VLPSoftmax,CustomSilu,12.0,-1.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,499.421906462308,vlp,True,False,VLPSoftmax,CustomSilu,12.0,0.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,6.710361890743578,vlp,True,False,VLPSoftmax,CustomSilu,12.0,1.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,5.991376986844801,vlp,True,False,VLPSoftmax,CustomSilu,12.0,2.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,6.534954217917879,vlp,True,False,VLPSoftmax,CustomSilu,12.0,3.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,6.538953331004207,vlp,True,False,VLPSoftmax,CustomSilu,12.0,4.0,-4.0,256.0,max,,,,,,,,,
meta-llama/Llama-2-13b-hf,nlp,5475.042736527028,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,-4.0,256.0,,,,,,
meta-llama/Llama-2-13b-hf,nlp,5032.932171528302,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,-3.0,256.0,,,,,,
meta-llama/Llama-2-13b-hf,nlp,727.2699807980986,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,-2.0,256.0,,,,,,
meta-llama/Llama-2-13b-hf,nlp,17.544554871512346,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,-1.0,256.0,,,,,,
meta-llama/Llama-2-13b-hf,nlp,6.022231237107265,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,0.0,256.0,,,,,,
meta-llama/Llama-2-13b-hf,nlp,5.206611566809864,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,1.0,256.0,,,,,,
meta-llama/Llama-2-13b-hf,nlp,5.1974424518576345,vlp,False,True,CustomSoftmax,VLPSilu,,,,,,8.0,2.0,256.0,,,,,,
