model,modality,value,function_name,patch_attention,patch_ffn,attn_fn,ffn_fn,ffn_exp_dim,ffn_max_pos_exp,ffn_min_pos_exp,ffn_lut_build,ffn_window_size
meta-llama/Llama-2-70b-hf,nlp,5.190942536767346,vlp,False,True,CustomSoftmax,VLPSilu,8,0,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,4.365620521454162,vlp,False,True,CustomSoftmax,VLPSilu,8,1,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,4.36093746872512,vlp,False,True,CustomSoftmax,VLPSilu,8,2,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,4.363365669651605,vlp,False,True,CustomSoftmax,VLPSilu,8,3,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,4.385168872713827,vlp,False,True,CustomSoftmax,VLPSilu,8,4,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,5.190741697241962,vlp,False,True,CustomSoftmax,VLPSilu,9,0,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,4.365410519307667,vlp,False,True,CustomSoftmax,VLPSilu,9,1,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,4.3607119843671835,vlp,False,True,CustomSoftmax,VLPSilu,9,2,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,4.36061334329453,vlp,False,True,CustomSoftmax,VLPSilu,9,3,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,4.3634693723059,vlp,False,True,CustomSoftmax,VLPSilu,9,4,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,5.190833065850857,vlp,False,True,CustomSoftmax,VLPSilu,10,0,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,4.365456190890338,vlp,False,True,CustomSoftmax,VLPSilu,10,1,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,4.360604368920573,vlp,False,True,CustomSoftmax,VLPSilu,10,2,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,4.360275707697045,vlp,False,True,CustomSoftmax,VLPSilu,10,3,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,4.360781149806744,vlp,False,True,CustomSoftmax,VLPSilu,10,4,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,5.190266846428057,vlp,False,True,CustomSoftmax,VLPSilu,11,0,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,4.365240081846831,vlp,False,True,CustomSoftmax,VLPSilu,11,1,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,4.360364086683862,vlp,False,True,CustomSoftmax,VLPSilu,11,2,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,4.360457893473074,vlp,False,True,CustomSoftmax,VLPSilu,11,3,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,4.3605726501541895,vlp,False,True,CustomSoftmax,VLPSilu,11,4,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,5.1908906493477875,vlp,False,True,CustomSoftmax,VLPSilu,12,0,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,4.365272523459066,vlp,False,True,CustomSoftmax,VLPSilu,12,1,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,4.360401714546904,vlp,False,True,CustomSoftmax,VLPSilu,12,2,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,4.360564306348465,vlp,False,True,CustomSoftmax,VLPSilu,12,3,-4,max,256
meta-llama/Llama-2-70b-hf,nlp,4.360508684241236,vlp,False,True,CustomSoftmax,VLPSilu,12,4,-4,max,256
