model,modality,value,function_name,patch_attention,patch_ffn,attn_fn,ffn_fn,ffn_exp_dim,ffn_max_pos_exp,ffn_min_pos_exp,ffn_window_size,ffn_lut_build
meta-llama/Llama-2-70b-hf,nlp,26.511950508639856,vlp,False,True,CustomSoftmax,VLPSilu,8,4,-8,256,min
meta-llama/Llama-2-70b-hf,nlp,7.954624654739534,vlp,False,True,CustomSoftmax,VLPSilu,8,4,-7,256,min
meta-llama/Llama-2-70b-hf,nlp,4.85333276576304,vlp,False,True,CustomSoftmax,VLPSilu,8,4,-6,256,min
meta-llama/Llama-2-70b-hf,nlp,4.420593540199562,vlp,False,True,CustomSoftmax,VLPSilu,8,4,-5,256,min
meta-llama/Llama-2-70b-hf,nlp,4.39872860281262,vlp,False,True,CustomSoftmax,VLPSilu,8,4,-4,256,min
meta-llama/Llama-2-70b-hf,nlp,19.66775542713727,vlp,False,True,CustomSoftmax,VLPSilu,9,4,-8,256,min
meta-llama/Llama-2-70b-hf,nlp,7.720235467877628,vlp,False,True,CustomSoftmax,VLPSilu,9,4,-7,256,min
meta-llama/Llama-2-70b-hf,nlp,4.811291369642716,vlp,False,True,CustomSoftmax,VLPSilu,9,4,-6,256,min
meta-llama/Llama-2-70b-hf,nlp,4.398068642356112,vlp,False,True,CustomSoftmax,VLPSilu,9,4,-5,256,min
meta-llama/Llama-2-70b-hf,nlp,4.376678767836992,vlp,False,True,CustomSoftmax,VLPSilu,9,4,-4,256,min
meta-llama/Llama-2-70b-hf,nlp,18.197298819142325,vlp,False,True,CustomSoftmax,VLPSilu,10,4,-8,256,min
meta-llama/Llama-2-70b-hf,nlp,7.693758243719612,vlp,False,True,CustomSoftmax,VLPSilu,10,4,-7,256,min
meta-llama/Llama-2-70b-hf,nlp,4.80426093949299,vlp,False,True,CustomSoftmax,VLPSilu,10,4,-6,256,min
meta-llama/Llama-2-70b-hf,nlp,4.394842963395254,vlp,False,True,CustomSoftmax,VLPSilu,10,4,-5,256,min
meta-llama/Llama-2-70b-hf,nlp,4.373541255858523,vlp,False,True,CustomSoftmax,VLPSilu,10,4,-4,256,min
meta-llama/Llama-2-70b-hf,nlp,17.93442396410444,vlp,False,True,CustomSoftmax,VLPSilu,11,4,-8,256,min
meta-llama/Llama-2-70b-hf,nlp,7.628882397430828,vlp,False,True,CustomSoftmax,VLPSilu,11,4,-7,256,min
meta-llama/Llama-2-70b-hf,nlp,4.80389603828554,vlp,False,True,CustomSoftmax,VLPSilu,11,4,-6,256,min
meta-llama/Llama-2-70b-hf,nlp,4.399099039077458,vlp,False,True,CustomSoftmax,VLPSilu,11,4,-5,256,min
meta-llama/Llama-2-70b-hf,nlp,4.3796473299092575,vlp,False,True,CustomSoftmax,VLPSilu,11,4,-4,256,min
meta-llama/Llama-2-70b-hf,nlp,17.094898424903583,vlp,False,True,CustomSoftmax,VLPSilu,12,4,-8,256,min
meta-llama/Llama-2-70b-hf,nlp,7.6304713212965956,vlp,False,True,CustomSoftmax,VLPSilu,12,4,-7,256,min
meta-llama/Llama-2-70b-hf,nlp,4.942930105211587,vlp,False,True,CustomSoftmax,VLPSilu,12,4,-6,256,min
meta-llama/Llama-2-70b-hf,nlp,4.493391250584121,vlp,False,True,CustomSoftmax,VLPSilu,12,4,-5,256,min
meta-llama/Llama-2-70b-hf,nlp,4.455900875280933,vlp,False,True,CustomSoftmax,VLPSilu,12,4,-4,256,min
