model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,max,11,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-1
meta-llama/Llama-2-13b-hf,5.492176908385977,vlp,VLPSoftmax,torch,max,11,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,0
meta-llama/Llama-2-13b-hf,5.457160060558134,vlp,VLPSoftmax,torch,max,11,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,1
meta-llama/Llama-2-13b-hf,5.4380347364095165,vlp,VLPSoftmax,torch,max,11,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,2
meta-llama/Llama-2-13b-hf,5.438089028812102,vlp,VLPSoftmax,torch,max,11,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,3
meta-llama/Llama-2-13b-hf,5.438079790962051,vlp,VLPSoftmax,torch,max,11,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,4
meta-llama/Llama-2-13b-hf,5.438054281612002,vlp,VLPSoftmax,torch,max,11,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,5
meta-llama/Llama-2-13b-hf,5.438054281612002,vlp,VLPSoftmax,torch,max,11,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,6
meta-llama/Llama-2-13b-hf,5.438054281612002,vlp,VLPSoftmax,torch,max,11,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,7
meta-llama/Llama-2-13b-hf,5.6048484943832095,vlp,VLPSoftmax,torch,min,11,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,7
meta-llama/Llama-2-13b-hf,5.4380950577332285,vlp,VLPSoftmax,torch,min,11,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-6
meta-llama/Llama-2-13b-hf,5.438096451517021,vlp,VLPSoftmax,torch,min,11,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-5
meta-llama/Llama-2-13b-hf,5.43798961740437,vlp,VLPSoftmax,torch,min,11,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4
meta-llama/Llama-2-13b-hf,5.438047312750653,vlp,VLPSoftmax,torch,min,11,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-3
meta-llama/Llama-2-13b-hf,5.438207080193294,vlp,VLPSoftmax,torch,min,11,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-2
meta-llama/Llama-2-13b-hf,5.438488151332663,vlp,VLPSoftmax,torch,min,11,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-1
meta-llama/Llama-2-13b-hf,5.439500043426512,vlp,VLPSoftmax,torch,min,11,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,0
meta-llama/Llama-2-13b-hf,6.68391525460471,vlp,VLPSoftmax,torch,min,11,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,1
