model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,max,12,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,-1
meta-llama/Llama-2-13b-hf,5.487490633286771,vlp,VLPSoftmax,torch,max,12,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,0
meta-llama/Llama-2-13b-hf,5.4517496963557,vlp,VLPSoftmax,torch,max,12,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,1
meta-llama/Llama-2-13b-hf,5.43798961740437,vlp,VLPSoftmax,torch,max,12,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2
meta-llama/Llama-2-13b-hf,5.439570626462601,vlp,VLPSoftmax,torch,max,12,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,3
meta-llama/Llama-2-13b-hf,5.439476116082411,vlp,VLPSoftmax,torch,max,12,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,4
meta-llama/Llama-2-13b-hf,5.439476116082411,vlp,VLPSoftmax,torch,max,12,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,5
meta-llama/Llama-2-13b-hf,5.439476116082411,vlp,VLPSoftmax,torch,max,12,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,6
meta-llama/Llama-2-13b-hf,5.439476116082411,vlp,VLPSoftmax,torch,max,12,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,7
meta-llama/Llama-2-13b-hf,5.620607946793372,vlp,VLPSoftmax,torch,min,12,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,7
meta-llama/Llama-2-13b-hf,5.439474332883474,vlp,VLPSoftmax,torch,min,12,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,-6
meta-llama/Llama-2-13b-hf,5.439506009067992,vlp,VLPSoftmax,torch,min,12,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,-5
meta-llama/Llama-2-13b-hf,5.439486847710177,vlp,VLPSoftmax,torch,min,12,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,-4
meta-llama/Llama-2-13b-hf,5.439543164786656,vlp,VLPSoftmax,torch,min,12,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,-3
meta-llama/Llama-2-13b-hf,5.439586318911103,vlp,VLPSoftmax,torch,min,12,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,-2
meta-llama/Llama-2-13b-hf,5.43998675104285,vlp,VLPSoftmax,torch,min,12,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,-1
meta-llama/Llama-2-13b-hf,5.4416473512029535,vlp,VLPSoftmax,torch,min,12,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,0
meta-llama/Llama-2-13b-hf,6.274420200608275,vlp,VLPSoftmax,torch,min,12,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,1
