model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,max,14,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,-1
meta-llama/Llama-2-13b-hf,5.478474403828503,vlp,VLPSoftmax,torch,max,14,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,0
meta-llama/Llama-2-13b-hf,5.448851818859056,vlp,VLPSoftmax,torch,max,14,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,1
meta-llama/Llama-2-13b-hf,5.43798961740437,vlp,VLPSoftmax,torch,max,14,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2
meta-llama/Llama-2-13b-hf,5.438123160373127,vlp,VLPSoftmax,torch,max,14,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,3
meta-llama/Llama-2-13b-hf,5.438150096257711,vlp,VLPSoftmax,torch,max,14,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,4
meta-llama/Llama-2-13b-hf,5.438150096257711,vlp,VLPSoftmax,torch,max,14,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,5
meta-llama/Llama-2-13b-hf,5.438150096257711,vlp,VLPSoftmax,torch,max,14,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,6
meta-llama/Llama-2-13b-hf,5.438150096257711,vlp,VLPSoftmax,torch,max,14,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,7
meta-llama/Llama-2-13b-hf,5.572701000105103,vlp,VLPSoftmax,torch,min,14,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,7
meta-llama/Llama-2-13b-hf,5.4381897710166145,vlp,VLPSoftmax,torch,min,14,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,-6
meta-llama/Llama-2-13b-hf,5.438082773003159,vlp,VLPSoftmax,torch,min,14,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,-5
meta-llama/Llama-2-13b-hf,5.4381250727841195,vlp,VLPSoftmax,torch,min,14,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,-4
meta-llama/Llama-2-13b-hf,5.438202185645238,vlp,VLPSoftmax,torch,min,14,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,-3
meta-llama/Llama-2-13b-hf,5.438226820501357,vlp,VLPSoftmax,torch,min,14,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,-2
meta-llama/Llama-2-13b-hf,5.4384822840551355,vlp,VLPSoftmax,torch,min,14,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,-1
meta-llama/Llama-2-13b-hf,5.439695227047922,vlp,VLPSoftmax,torch,min,14,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,0
meta-llama/Llama-2-13b-hf,5.915800230978,vlp,VLPSoftmax,torch,min,14,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,1
