model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,max,18,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-1
meta-llama/Llama-2-13b-hf,5.458380455231312,vlp,VLPSoftmax,torch,max,18,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,0
meta-llama/Llama-2-13b-hf,5.443797842878936,vlp,VLPSoftmax,torch,max,18,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,1
meta-llama/Llama-2-13b-hf,5.43750649152433,vlp,VLPSoftmax,torch,max,18,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,2
meta-llama/Llama-2-13b-hf,5.437304677799265,vlp,VLPSoftmax,torch,max,18,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,3
meta-llama/Llama-2-13b-hf,5.437353032035459,vlp,VLPSoftmax,torch,max,18,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,4
meta-llama/Llama-2-13b-hf,5.437353032035459,vlp,VLPSoftmax,torch,max,18,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,5
meta-llama/Llama-2-13b-hf,5.437353032035459,vlp,VLPSoftmax,torch,max,18,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,6
meta-llama/Llama-2-13b-hf,5.437353032035459,vlp,VLPSoftmax,torch,max,18,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,7
meta-llama/Llama-2-13b-hf,5.511064943969149,vlp,VLPSoftmax,torch,min,18,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,7
meta-llama/Llama-2-13b-hf,5.437265819713314,vlp,VLPSoftmax,torch,min,18,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-6
meta-llama/Llama-2-13b-hf,5.437321562842263,vlp,VLPSoftmax,torch,min,18,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-5
meta-llama/Llama-2-13b-hf,5.43736781062776,vlp,VLPSoftmax,torch,min,18,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-4
meta-llama/Llama-2-13b-hf,5.437320979480978,vlp,VLPSoftmax,torch,min,18,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-3
meta-llama/Llama-2-13b-hf,5.437259402808405,vlp,VLPSoftmax,torch,min,18,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2
meta-llama/Llama-2-13b-hf,5.4374032664493885,vlp,VLPSoftmax,torch,min,18,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-1
meta-llama/Llama-2-13b-hf,5.438295247641133,vlp,VLPSoftmax,torch,min,18,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,0
meta-llama/Llama-2-13b-hf,1542.3671233882126,vlp,VLPSoftmax,torch,min,18,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,1
