model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp,attn_layer_20_max_min_exp,attn_layer_21_max_min_exp,attn_layer_22_max_min_exp,attn_layer_23_max_min_exp
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,max,23,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,-1
meta-llama/Llama-2-13b-hf,5.446917596297442,vlp,VLPSoftmax,torch,max,23,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,0
meta-llama/Llama-2-13b-hf,5.439840484520869,vlp,VLPSoftmax,torch,max,23,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,1
meta-llama/Llama-2-13b-hf,5.437006848520253,vlp,VLPSoftmax,torch,max,23,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2
meta-llama/Llama-2-13b-hf,5.437794365335419,vlp,VLPSoftmax,torch,max,23,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,3
meta-llama/Llama-2-13b-hf,5.437870598376689,vlp,VLPSoftmax,torch,max,23,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,4
meta-llama/Llama-2-13b-hf,5.437870598376689,vlp,VLPSoftmax,torch,max,23,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,5
meta-llama/Llama-2-13b-hf,5.437870598376689,vlp,VLPSoftmax,torch,max,23,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,6
meta-llama/Llama-2-13b-hf,5.437870598376689,vlp,VLPSoftmax,torch,max,23,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,7
meta-llama/Llama-2-13b-hf,5.47522669327535,vlp,VLPSoftmax,torch,min,23,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,7
meta-llama/Llama-2-13b-hf,5.437809177539122,vlp,VLPSoftmax,torch,min,23,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,-6
meta-llama/Llama-2-13b-hf,5.437876108459351,vlp,VLPSoftmax,torch,min,23,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,-5
meta-llama/Llama-2-13b-hf,5.43781549785714,vlp,VLPSoftmax,torch,min,23,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,-4
meta-llama/Llama-2-13b-hf,5.437828332987108,vlp,VLPSoftmax,torch,min,23,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,-3
meta-llama/Llama-2-13b-hf,5.437841816388591,vlp,VLPSoftmax,torch,min,23,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,-2
meta-llama/Llama-2-13b-hf,5.437894291771752,vlp,VLPSoftmax,torch,min,23,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,-1
meta-llama/Llama-2-13b-hf,5.438448377149866,vlp,VLPSoftmax,torch,min,23,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,0
meta-llama/Llama-2-13b-hf,1133.4512935731493,vlp,VLPSoftmax,torch,min,23,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,1
