model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp,attn_layer_20_max_min_exp,attn_layer_21_max_min_exp,attn_layer_22_max_min_exp,attn_layer_23_max_min_exp,attn_layer_24_max_min_exp,attn_layer_25_max_min_exp,attn_layer_26_max_min_exp
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,max,26,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-1
meta-llama/Llama-2-13b-hf,5.443591999426865,vlp,VLPSoftmax,torch,max,26,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,0
meta-llama/Llama-2-13b-hf,5.438025693130643,vlp,VLPSoftmax,torch,max,26,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,1
meta-llama/Llama-2-13b-hf,5.435665846660325,vlp,VLPSoftmax,torch,max,26,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,2
meta-llama/Llama-2-13b-hf,5.435385698920991,vlp,VLPSoftmax,torch,max,26,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,3
meta-llama/Llama-2-13b-hf,5.435359910633158,vlp,VLPSoftmax,torch,max,26,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,4
meta-llama/Llama-2-13b-hf,5.435359910633158,vlp,VLPSoftmax,torch,max,26,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,5
meta-llama/Llama-2-13b-hf,5.435359910633158,vlp,VLPSoftmax,torch,max,26,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,6
meta-llama/Llama-2-13b-hf,5.435359910633158,vlp,VLPSoftmax,torch,max,26,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,7
meta-llama/Llama-2-13b-hf,5.465891323250723,vlp,VLPSoftmax,torch,min,26,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,7
meta-llama/Llama-2-13b-hf,5.43539489979702,vlp,VLPSoftmax,torch,min,26,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-6
meta-llama/Llama-2-13b-hf,5.4353852129596625,vlp,VLPSoftmax,torch,min,26,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-5
meta-llama/Llama-2-13b-hf,5.435376336073699,vlp,VLPSoftmax,torch,min,26,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-4
meta-llama/Llama-2-13b-hf,5.435349705502793,vlp,VLPSoftmax,torch,min,26,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3
meta-llama/Llama-2-13b-hf,5.435394122257597,vlp,VLPSoftmax,torch,min,26,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-2
meta-llama/Llama-2-13b-hf,5.435525819583189,vlp,VLPSoftmax,torch,min,26,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-1
meta-llama/Llama-2-13b-hf,5.435942509557595,vlp,VLPSoftmax,torch,min,26,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,0
meta-llama/Llama-2-13b-hf,482.09145915238247,vlp,VLPSoftmax,torch,min,26,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,1
