model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp,attn_layer_20_max_min_exp,attn_layer_21_max_min_exp,attn_layer_22_max_min_exp,attn_layer_23_max_min_exp,attn_layer_24_max_min_exp,attn_layer_25_max_min_exp,attn_layer_26_max_min_exp,attn_layer_27_max_min_exp,attn_layer_28_max_min_exp
meta-llama/Llama-2-13b-hf,5.443590863805198,vlp,VLPSoftmax,torch,max,28,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,0
meta-llama/Llama-2-13b-hf,5.437775663770432,vlp,VLPSoftmax,torch,max,28,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,1
meta-llama/Llama-2-13b-hf,5.435304900347635,vlp,VLPSoftmax,torch,max,28,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,2
meta-llama/Llama-2-13b-hf,5.435086873302424,vlp,VLPSoftmax,torch,max,28,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3
meta-llama/Llama-2-13b-hf,5.435114733626158,vlp,VLPSoftmax,torch,max,28,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,4
meta-llama/Llama-2-13b-hf,5.435114733626158,vlp,VLPSoftmax,torch,max,28,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,5
meta-llama/Llama-2-13b-hf,5.435114733626158,vlp,VLPSoftmax,torch,max,28,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,6
meta-llama/Llama-2-13b-hf,5.435114733626158,vlp,VLPSoftmax,torch,max,28,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,7
meta-llama/Llama-2-13b-hf,5.467631527693601,vlp,VLPSoftmax,torch,min,28,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,7
meta-llama/Llama-2-13b-hf,5.435090922759213,vlp,VLPSoftmax,torch,min,28,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,-6
meta-llama/Llama-2-13b-hf,5.435102228858538,vlp,VLPSoftmax,torch,min,28,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,-5
meta-llama/Llama-2-13b-hf,5.435102811981777,vlp,VLPSoftmax,torch,min,28,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,-4
meta-llama/Llama-2-13b-hf,5.435096235651095,vlp,VLPSoftmax,torch,min,28,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,-3
meta-llama/Llama-2-13b-hf,5.435101127403701,vlp,VLPSoftmax,torch,min,28,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,-2
meta-llama/Llama-2-13b-hf,5.4352244269399845,vlp,VLPSoftmax,torch,min,28,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,-1
meta-llama/Llama-2-13b-hf,5.435761684022837,vlp,VLPSoftmax,torch,min,28,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,0
