model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,max,2,8,16,32,16,1,-1,-1
meta-llama/Llama-2-13b-hf,8.739543445323292,vlp,VLPSoftmax,torch,max,2,8,16,32,16,1,-1,0
meta-llama/Llama-2-13b-hf,6.590918336252139,vlp,VLPSoftmax,torch,max,2,8,16,32,16,1,-1,1
meta-llama/Llama-2-13b-hf,5.8101052400807385,vlp,VLPSoftmax,torch,max,2,8,16,32,16,1,-1,2
meta-llama/Llama-2-13b-hf,5.7147786106625,vlp,VLPSoftmax,torch,max,2,8,16,32,16,1,-1,3
meta-llama/Llama-2-13b-hf,5.714643383204876,vlp,VLPSoftmax,torch,max,2,8,16,32,16,1,-1,4
meta-llama/Llama-2-13b-hf,5.714643383204876,vlp,VLPSoftmax,torch,max,2,8,16,32,16,1,-1,5
meta-llama/Llama-2-13b-hf,5.714643383204876,vlp,VLPSoftmax,torch,max,2,8,16,32,16,1,-1,6
meta-llama/Llama-2-13b-hf,5.714643383204876,vlp,VLPSoftmax,torch,max,2,8,16,32,16,1,-1,7
meta-llama/Llama-2-13b-hf,16.913558065005628,vlp,VLPSoftmax,torch,min,2,8,16,32,16,1,-1,7
meta-llama/Llama-2-13b-hf,5.714591983985336,vlp,VLPSoftmax,torch,min,2,8,16,32,16,1,-1,-6
meta-llama/Llama-2-13b-hf,5.7146264885131215,vlp,VLPSoftmax,torch,min,2,8,16,32,16,1,-1,-5
meta-llama/Llama-2-13b-hf,5.714554584446187,vlp,VLPSoftmax,torch,min,2,8,16,32,16,1,-1,-4
meta-llama/Llama-2-13b-hf,5.714382338544319,vlp,VLPSoftmax,torch,min,2,8,16,32,16,1,-1,-3
meta-llama/Llama-2-13b-hf,5.715254180291281,vlp,VLPSoftmax,torch,min,2,8,16,32,16,1,-1,-2
meta-llama/Llama-2-13b-hf,5.709843553701931,vlp,VLPSoftmax,torch,min,2,8,16,32,16,1,-1,-1
meta-llama/Llama-2-13b-hf,5.701165022734091,vlp,VLPSoftmax,torch,min,2,8,16,32,16,1,-1,0
meta-llama/Llama-2-13b-hf,32.32624242191286,vlp,VLPSoftmax,torch,min,2,8,16,32,16,1,-1,1
