model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp,attn_layer_20_max_min_exp,attn_layer_21_max_min_exp,attn_layer_22_max_min_exp,attn_layer_23_max_min_exp,attn_layer_24_max_min_exp,attn_layer_25_max_min_exp,attn_layer_26_max_min_exp,attn_layer_27_max_min_exp,attn_layer_28_max_min_exp,attn_layer_29_max_min_exp
meta-llama/Llama-2-13b-hf,5.440304167137891,vlp,VLPSoftmax,torch,max,29,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,0
meta-llama/Llama-2-13b-hf,5.436400642956313,vlp,VLPSoftmax,torch,max,29,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,1
meta-llama/Llama-2-13b-hf,5.435086873302424,vlp,VLPSoftmax,torch,max,29,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,2
meta-llama/Llama-2-13b-hf,5.434924087638001,vlp,VLPSoftmax,torch,max,29,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,3
meta-llama/Llama-2-13b-hf,5.434931279259935,vlp,VLPSoftmax,torch,max,29,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,4
meta-llama/Llama-2-13b-hf,5.434931279259935,vlp,VLPSoftmax,torch,max,29,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,5
meta-llama/Llama-2-13b-hf,5.434931279259935,vlp,VLPSoftmax,torch,max,29,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,6
meta-llama/Llama-2-13b-hf,5.434931279259935,vlp,VLPSoftmax,torch,max,29,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,7
meta-llama/Llama-2-13b-hf,5.461721727752138,vlp,VLPSoftmax,torch,min,29,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,7
meta-llama/Llama-2-13b-hf,5.43494731466743,vlp,VLPSoftmax,torch,min,29,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,-6
meta-llama/Llama-2-13b-hf,5.434934486337649,vlp,VLPSoftmax,torch,min,29,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,-5
meta-llama/Llama-2-13b-hf,5.434935134232367,vlp,VLPSoftmax,torch,min,29,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,-4
meta-llama/Llama-2-13b-hf,5.43494083570921,vlp,VLPSoftmax,torch,min,29,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,-3
meta-llama/Llama-2-13b-hf,5.434934551127117,vlp,VLPSoftmax,torch,min,29,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,-2
meta-llama/Llama-2-13b-hf,5.435022438751957,vlp,VLPSoftmax,torch,min,29,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,-1
meta-llama/Llama-2-13b-hf,5.435603608358622,vlp,VLPSoftmax,torch,min,29,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,0
