model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp,attn_layer_20_max_min_exp,attn_layer_21_max_min_exp,attn_layer_22_max_min_exp,attn_layer_23_max_min_exp,attn_layer_24_max_min_exp,attn_layer_25_max_min_exp,attn_layer_26_max_min_exp,attn_layer_27_max_min_exp,attn_layer_28_max_min_exp,attn_layer_29_max_min_exp,attn_layer_30_max_min_exp,attn_layer_31_max_min_exp,attn_layer_32_max_min_exp,attn_layer_33_max_min_exp,attn_layer_34_max_min_exp,attn_layer_35_max_min_exp,attn_layer_36_max_min_exp,attn_layer_37_max_min_exp,attn_layer_38_max_min_exp,attn_layer_39_max_min_exp
meta-llama/Llama-2-13b-hf,5.43755932018575,vlp,VLPSoftmax,torch,max,39,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,3,-5,-4,3,3,2,-6,-6,3,2,1
meta-llama/Llama-2-13b-hf,5.4334138959136355,vlp,VLPSoftmax,torch,max,39,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,3,-5,-4,3,3,2,-6,-6,3,2,2
meta-llama/Llama-2-13b-hf,5.433249443967509,vlp,VLPSoftmax,torch,max,39,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,3,-5,-4,3,3,2,-6,-6,3,2,3
meta-llama/Llama-2-13b-hf,5.4332601633105755,vlp,VLPSoftmax,torch,max,39,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,3,-5,-4,3,3,2,-6,-6,3,2,4
meta-llama/Llama-2-13b-hf,5.433260746236183,vlp,VLPSoftmax,torch,max,39,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,3,-5,-4,3,3,2,-6,-6,3,2,5
meta-llama/Llama-2-13b-hf,5.433260746236183,vlp,VLPSoftmax,torch,max,39,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,3,-5,-4,3,3,2,-6,-6,3,2,6
meta-llama/Llama-2-13b-hf,5.43329653151126,vlp,VLPSoftmax,torch,min,39,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,3,-5,-4,3,3,2,-6,-6,3,2,-6
meta-llama/Llama-2-13b-hf,5.433255953294161,vlp,VLPSoftmax,torch,min,39,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,3,-5,-4,3,3,2,-6,-6,3,2,-5
meta-llama/Llama-2-13b-hf,5.433254949367651,vlp,VLPSoftmax,torch,min,39,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,3,-5,-4,3,3,2,-6,-6,3,2,-4
meta-llama/Llama-2-13b-hf,5.433260713851425,vlp,VLPSoftmax,torch,min,39,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,3,-5,-4,3,3,2,-6,-6,3,2,-3
meta-llama/Llama-2-13b-hf,5.433288564814242,vlp,VLPSoftmax,torch,min,39,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,3,-5,-4,3,3,2,-6,-6,3,2,-2
meta-llama/Llama-2-13b-hf,5.43337671729108,vlp,VLPSoftmax,torch,min,39,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4,3,3,-5,-4,3,3,2,-6,-6,3,2,-1
