model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,max,4,8,16,32,16,1,-1,0,1,-1
meta-llama/Llama-2-13b-hf,5.8244579255784785,vlp,VLPSoftmax,torch,max,4,8,16,32,16,1,-1,0,1,0
meta-llama/Llama-2-13b-hf,5.486910456871456,vlp,VLPSoftmax,torch,max,4,8,16,32,16,1,-1,0,1,1
meta-llama/Llama-2-13b-hf,5.7443810383154466,vlp,VLPSoftmax,torch,max,4,8,16,32,16,1,-1,0,1,2
meta-llama/Llama-2-13b-hf,5.826451721439217,vlp,VLPSoftmax,torch,max,4,8,16,32,16,1,-1,0,1,3
meta-llama/Llama-2-13b-hf,5.826401921185936,vlp,VLPSoftmax,torch,max,4,8,16,32,16,1,-1,0,1,4
meta-llama/Llama-2-13b-hf,5.826401921185936,vlp,VLPSoftmax,torch,max,4,8,16,32,16,1,-1,0,1,5
meta-llama/Llama-2-13b-hf,5.826401921185936,vlp,VLPSoftmax,torch,max,4,8,16,32,16,1,-1,0,1,6
meta-llama/Llama-2-13b-hf,5.826401921185936,vlp,VLPSoftmax,torch,max,4,8,16,32,16,1,-1,0,1,7
meta-llama/Llama-2-13b-hf,6.470316395201166,vlp,VLPSoftmax,torch,min,4,8,16,32,16,1,-1,0,1,7
meta-llama/Llama-2-13b-hf,5.82638157057733,vlp,VLPSoftmax,torch,min,4,8,16,32,16,1,-1,0,1,-6
meta-llama/Llama-2-13b-hf,5.826653878721129,vlp,VLPSoftmax,torch,min,4,8,16,32,16,1,-1,0,1,-5
meta-llama/Llama-2-13b-hf,5.826437795384097,vlp,VLPSoftmax,torch,min,4,8,16,32,16,1,-1,0,1,-4
meta-llama/Llama-2-13b-hf,5.826716843759904,vlp,VLPSoftmax,torch,min,4,8,16,32,16,1,-1,0,1,-3
meta-llama/Llama-2-13b-hf,5.8270798523872855,vlp,VLPSoftmax,torch,min,4,8,16,32,16,1,-1,0,1,-2
meta-llama/Llama-2-13b-hf,5.828925148521282,vlp,VLPSoftmax,torch,min,4,8,16,32,16,1,-1,0,1,-1
meta-llama/Llama-2-13b-hf,5.832364061915795,vlp,VLPSoftmax,torch,min,4,8,16,32,16,1,-1,0,1,0
meta-llama/Llama-2-13b-hf,12.193209280658563,vlp,VLPSoftmax,torch,min,4,8,16,32,16,1,-1,0,1,1
