model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,max,6,8,16,32,16,1,-1,0,1,1,2,-1
meta-llama/Llama-2-13b-hf,5.571534978772009,vlp,VLPSoftmax,torch,max,6,8,16,32,16,1,-1,0,1,1,2,0
meta-llama/Llama-2-13b-hf,5.510178466922614,vlp,VLPSoftmax,torch,max,6,8,16,32,16,1,-1,0,1,1,2,1
meta-llama/Llama-2-13b-hf,5.486910456871456,vlp,VLPSoftmax,torch,max,6,8,16,32,16,1,-1,0,1,1,2,2
meta-llama/Llama-2-13b-hf,5.485926727248829,vlp,VLPSoftmax,torch,max,6,8,16,32,16,1,-1,0,1,1,2,3
meta-llama/Llama-2-13b-hf,5.4859708706328,vlp,VLPSoftmax,torch,max,6,8,16,32,16,1,-1,0,1,1,2,4
meta-llama/Llama-2-13b-hf,5.4859708706328,vlp,VLPSoftmax,torch,max,6,8,16,32,16,1,-1,0,1,1,2,5
meta-llama/Llama-2-13b-hf,5.4859708706328,vlp,VLPSoftmax,torch,max,6,8,16,32,16,1,-1,0,1,1,2,6
meta-llama/Llama-2-13b-hf,5.4859708706328,vlp,VLPSoftmax,torch,max,6,8,16,32,16,1,-1,0,1,1,2,7
meta-llama/Llama-2-13b-hf,5.689054562963587,vlp,VLPSoftmax,torch,min,6,8,16,32,16,1,-1,0,1,1,2,7
meta-llama/Llama-2-13b-hf,5.485938891168069,vlp,VLPSoftmax,torch,min,6,8,16,32,16,1,-1,0,1,1,2,-6
meta-llama/Llama-2-13b-hf,5.485956908205537,vlp,VLPSoftmax,torch,min,6,8,16,32,16,1,-1,0,1,1,2,-5
meta-llama/Llama-2-13b-hf,5.486016714730517,vlp,VLPSoftmax,torch,min,6,8,16,32,16,1,-1,0,1,1,2,-4
meta-llama/Llama-2-13b-hf,5.485876142637415,vlp,VLPSoftmax,torch,min,6,8,16,32,16,1,-1,0,1,1,2,-3
meta-llama/Llama-2-13b-hf,5.485989116668593,vlp,VLPSoftmax,torch,min,6,8,16,32,16,1,-1,0,1,1,2,-2
meta-llama/Llama-2-13b-hf,5.486210853361935,vlp,VLPSoftmax,torch,min,6,8,16,32,16,1,-1,0,1,1,2,-1
meta-llama/Llama-2-13b-hf,5.487929232291813,vlp,VLPSoftmax,torch,min,6,8,16,32,16,1,-1,0,1,1,2,0
meta-llama/Llama-2-13b-hf,11.016141873648424,vlp,VLPSoftmax,torch,min,6,8,16,32,16,1,-1,0,1,1,2,1
