model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,max,8,8,16,32,16,1,-1,0,1,1,2,-3,3,-1
meta-llama/Llama-2-13b-hf,5.458613179347926,vlp,VLPSoftmax,torch,max,8,8,16,32,16,1,-1,0,1,1,2,-3,3,0
meta-llama/Llama-2-13b-hf,5.4380347364095165,vlp,VLPSoftmax,torch,max,8,8,16,32,16,1,-1,0,1,1,2,-3,3,1
meta-llama/Llama-2-13b-hf,5.48103003167824,vlp,VLPSoftmax,torch,max,8,8,16,32,16,1,-1,0,1,1,2,-3,3,2
meta-llama/Llama-2-13b-hf,5.5259502407501575,vlp,VLPSoftmax,torch,max,8,8,16,32,16,1,-1,0,1,1,2,-3,3,3
meta-llama/Llama-2-13b-hf,5.52601295359215,vlp,VLPSoftmax,torch,max,8,8,16,32,16,1,-1,0,1,1,2,-3,3,4
meta-llama/Llama-2-13b-hf,5.52601295359215,vlp,VLPSoftmax,torch,max,8,8,16,32,16,1,-1,0,1,1,2,-3,3,5
meta-llama/Llama-2-13b-hf,5.52601295359215,vlp,VLPSoftmax,torch,max,8,8,16,32,16,1,-1,0,1,1,2,-3,3,6
meta-llama/Llama-2-13b-hf,5.52601295359215,vlp,VLPSoftmax,torch,max,8,8,16,32,16,1,-1,0,1,1,2,-3,3,7
meta-llama/Llama-2-13b-hf,5.538322613522354,vlp,VLPSoftmax,torch,min,8,8,16,32,16,1,-1,0,1,1,2,-3,3,7
meta-llama/Llama-2-13b-hf,5.526005740261602,vlp,VLPSoftmax,torch,min,8,8,16,32,16,1,-1,0,1,1,2,-3,3,-6
meta-llama/Llama-2-13b-hf,5.525883345640701,vlp,VLPSoftmax,torch,min,8,8,16,32,16,1,-1,0,1,1,2,-3,3,-5
meta-llama/Llama-2-13b-hf,5.52581948149369,vlp,VLPSoftmax,torch,min,8,8,16,32,16,1,-1,0,1,1,2,-3,3,-4
meta-llama/Llama-2-13b-hf,5.525972605174661,vlp,VLPSoftmax,torch,min,8,8,16,32,16,1,-1,0,1,1,2,-3,3,-3
meta-llama/Llama-2-13b-hf,5.526062030839909,vlp,VLPSoftmax,torch,min,8,8,16,32,16,1,-1,0,1,1,2,-3,3,-2
meta-llama/Llama-2-13b-hf,5.52634421700329,vlp,VLPSoftmax,torch,min,8,8,16,32,16,1,-1,0,1,1,2,-3,3,-1
meta-llama/Llama-2-13b-hf,5.527026141285293,vlp,VLPSoftmax,torch,min,8,8,16,32,16,1,-1,0,1,1,2,-3,3,0
meta-llama/Llama-2-13b-hf,10.42121078368249,vlp,VLPSoftmax,torch,min,8,8,16,32,16,1,-1,0,1,1,2,-3,3,1
