model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp
meta-llama/Llama-2-70b-hf,4.908074516804657,vlp,VLPSoftmax,torch,max,10.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,1
meta-llama/Llama-2-70b-hf,4.856858429941414,vlp,VLPSoftmax,torch,max,10.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,2
meta-llama/Llama-2-70b-hf,4.850803270075589,vlp,VLPSoftmax,torch,max,10.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,3
meta-llama/Llama-2-70b-hf,4.849505332078181,vlp,VLPSoftmax,torch,max,10.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4
meta-llama/Llama-2-70b-hf,4.849505332078181,vlp,VLPSoftmax,torch,max,10.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,5
meta-llama/Llama-2-70b-hf,4.851096627764205,vlp,VLPSoftmax,torch,min,10.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,-5
meta-llama/Llama-2-70b-hf,4.852021815740985,vlp,VLPSoftmax,torch,min,10.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,-4
meta-llama/Llama-2-70b-hf,4.853658885603293,vlp,VLPSoftmax,torch,min,10.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,-3
meta-llama/Llama-2-70b-hf,4.857994897377212,vlp,VLPSoftmax,torch,min,10.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,-2
meta-llama/Llama-2-70b-hf,4.854623833773371,vlp,VLPSoftmax,torch,min,10.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,-1
,4.849505332078181,,,,,,,,,,,,,,,,,,,,4
