model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp
meta-llama/Llama-2-70b-hf,4.8492198803663085,vlp,VLPSoftmax,torch,max,16.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,1
meta-llama/Llama-2-70b-hf,4.845660488904207,vlp,VLPSoftmax,torch,max,16.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,2
meta-llama/Llama-2-70b-hf,4.8407816932228,vlp,VLPSoftmax,torch,max,16.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,3
meta-llama/Llama-2-70b-hf,4.840002967591409,vlp,VLPSoftmax,torch,max,16.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4
meta-llama/Llama-2-70b-hf,4.840002967591409,vlp,VLPSoftmax,torch,max,16.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,5
meta-llama/Llama-2-70b-hf,4.840114157396146,vlp,VLPSoftmax,torch,min,16.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,-5
meta-llama/Llama-2-70b-hf,4.840401300394935,vlp,VLPSoftmax,torch,min,16.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,-4
meta-llama/Llama-2-70b-hf,4.841398596041414,vlp,VLPSoftmax,torch,min,16.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,-3
meta-llama/Llama-2-70b-hf,4.841343231347803,vlp,VLPSoftmax,torch,min,16.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,-2
meta-llama/Llama-2-70b-hf,4.844388513804458,vlp,VLPSoftmax,torch,min,16.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,-1
,4.840002967591409,,,,,,,,,,,,,,,,,,,,,,,,,,4
