model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp,attn_layer_20_max_min_exp,attn_layer_21_max_min_exp,attn_layer_22_max_min_exp,attn_layer_23_max_min_exp,attn_layer_24_max_min_exp,attn_layer_25_max_min_exp,attn_layer_26_max_min_exp,attn_layer_27_max_min_exp,attn_layer_28_max_min_exp,attn_layer_29_max_min_exp,attn_layer_30_max_min_exp,attn_layer_31_max_min_exp,attn_layer_32_max_min_exp,attn_layer_33_max_min_exp,attn_layer_34_max_min_exp,attn_layer_35_max_min_exp,attn_layer_36_max_min_exp,attn_layer_37_max_min_exp,attn_layer_38_max_min_exp,attn_layer_39_max_min_exp,attn_layer_40_max_min_exp
meta-llama/Llama-2-70b-hf,4.734846870122491,vlp,VLPSoftmax,torch,max,40.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,-5.0,3.0,3.0,4.0,3.0,-5.0,-1.0,1.0,-1.0,-4.0,2.0,1.0,1.0,-5.0,1.0,1
meta-llama/Llama-2-70b-hf,4.743155455699497,vlp,VLPSoftmax,torch,max,40.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,-5.0,3.0,3.0,4.0,3.0,-5.0,-1.0,1.0,-1.0,-4.0,2.0,1.0,1.0,-5.0,1.0,2
meta-llama/Llama-2-70b-hf,4.745084780812194,vlp,VLPSoftmax,torch,max,40.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,-5.0,3.0,3.0,4.0,3.0,-5.0,-1.0,1.0,-1.0,-4.0,2.0,1.0,1.0,-5.0,1.0,3
meta-llama/Llama-2-70b-hf,4.745428396661331,vlp,VLPSoftmax,torch,max,40.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,-5.0,3.0,3.0,4.0,3.0,-5.0,-1.0,1.0,-1.0,-4.0,2.0,1.0,1.0,-5.0,1.0,4
meta-llama/Llama-2-70b-hf,4.745602137364037,vlp,VLPSoftmax,torch,max,40.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,-5.0,3.0,3.0,4.0,3.0,-5.0,-1.0,1.0,-1.0,-4.0,2.0,1.0,1.0,-5.0,1.0,5
meta-llama/Llama-2-70b-hf,4.745258675809635,vlp,VLPSoftmax,torch,min,40.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,-5.0,3.0,3.0,4.0,3.0,-5.0,-1.0,1.0,-1.0,-4.0,2.0,1.0,1.0,-5.0,1.0,-5
meta-llama/Llama-2-70b-hf,4.745308147517069,vlp,VLPSoftmax,torch,min,40.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,-5.0,3.0,3.0,4.0,3.0,-5.0,-1.0,1.0,-1.0,-4.0,2.0,1.0,1.0,-5.0,1.0,-4
meta-llama/Llama-2-70b-hf,4.745308602893366,vlp,VLPSoftmax,torch,min,40.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,-5.0,3.0,3.0,4.0,3.0,-5.0,-1.0,1.0,-1.0,-4.0,2.0,1.0,1.0,-5.0,1.0,-3
meta-llama/Llama-2-70b-hf,4.745752431710333,vlp,VLPSoftmax,torch,min,40.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,-5.0,3.0,3.0,4.0,3.0,-5.0,-1.0,1.0,-1.0,-4.0,2.0,1.0,1.0,-5.0,1.0,-2
meta-llama/Llama-2-70b-hf,4.745846155584419,vlp,VLPSoftmax,torch,min,40.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,-5.0,3.0,3.0,4.0,3.0,-5.0,-1.0,1.0,-1.0,-4.0,2.0,1.0,1.0,-5.0,1.0,-1
