model,value,function_name,attn_fn,ffn_fn,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_lut_build,attn_mant_dim,attn_layer_0_max_min_exp
meta-llama/Llama-2-7b-hf,8.9047043541345,vlp,VLPSoftmax,torch,0,8,8,32,max,16,0
meta-llama/Llama-2-7b-hf,6.158980467715537,vlp,VLPSoftmax,torch,0,8,8,32,max,16,1
meta-llama/Llama-2-7b-hf,6.187520800781686,vlp,VLPSoftmax,torch,0,8,8,32,max,16,2
meta-llama/Llama-2-7b-hf,6.188677186197952,vlp,VLPSoftmax,torch,0,8,8,32,max,16,3
meta-llama/Llama-2-7b-hf,6.18823720904428,vlp,VLPSoftmax,torch,0,8,8,32,max,16,4
meta-llama/Llama-2-7b-hf,6.192231790294328,vlp,VLPSoftmax,torch,0,8,8,32,max,16,5
meta-llama/Llama-2-7b-hf,6.202328899451009,vlp,VLPSoftmax,torch,0,8,8,32,max,16,6
meta-llama/Llama-2-7b-hf,6.261120166262983,vlp,VLPSoftmax,torch,0,8,8,32,max,16,7
meta-llama/Llama-2-7b-hf,7.4567214895535505,vlp,VLPSoftmax,torch,0,8,8,32,max,16,8
meta-llama/Llama-2-7b-hf,34.88446337025822,vlp,VLPSoftmax,torch,0,8,8,32,min,16,-4
meta-llama/Llama-2-7b-hf,35.70273542050359,vlp,VLPSoftmax,torch,0,8,8,32,min,16,-3
meta-llama/Llama-2-7b-hf,36.164899200995556,vlp,VLPSoftmax,torch,0,8,8,32,min,16,-2
meta-llama/Llama-2-7b-hf,37.25809312774858,vlp,VLPSoftmax,torch,0,8,8,32,min,16,-1
meta-llama/Llama-2-7b-hf,42.98527562713395,vlp,VLPSoftmax,torch,0,8,8,32,min,16,0
meta-llama/Llama-2-7b-hf,42.530464569957175,vlp,VLPSoftmax,torch,0,8,8,32,min,16,1
meta-llama/Llama-2-7b-hf,129.5634401699975,vlp,VLPSoftmax,torch,0,8,8,32,min,16,2
meta-llama/Llama-2-7b-hf,598.4469843562191,vlp,VLPSoftmax,torch,0,8,8,32,min,16,3
meta-llama/Llama-2-7b-hf,1509.2993075154081,vlp,VLPSoftmax,torch,0,8,8,32,min,16,4
