model,value,function_name,attn_fn,ffn_fn,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_lut_build,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp,attn_layer_20_max_min_exp,attn_layer_21_max_min_exp,attn_layer_22_max_min_exp,attn_layer_23_max_min_exp,attn_layer_24_max_min_exp,attn_layer_25_max_min_exp,attn_layer_26_max_min_exp,attn_layer_27_max_min_exp,attn_layer_28_max_min_exp,attn_layer_29_max_min_exp,attn_layer_30_max_min_exp,attn_layer_31_max_min_exp
meta-llama/Llama-2-7b-hf,19.209536655708455,vlp,VLPSoftmax,torch,1,8,8,32,max,16,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,6.382959530020974,vlp,VLPSoftmax,torch,1,8,8,32,max,16,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,6.158980467715537,vlp,VLPSoftmax,torch,1,8,8,32,max,16,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,6.153034348675571,vlp,VLPSoftmax,torch,1,8,8,32,max,16,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,6.152242147566326,vlp,VLPSoftmax,torch,1,8,8,32,max,16,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,6.151551686056967,vlp,VLPSoftmax,torch,1,8,8,32,max,16,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,6.148293665687868,vlp,VLPSoftmax,torch,1,8,8,32,max,16,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,6.150844877487861,vlp,VLPSoftmax,torch,1,8,8,32,max,16,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,6.29397679926678,vlp,VLPSoftmax,torch,1,8,8,32,max,16,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,1247.814515433775,vlp,VLPSoftmax,torch,1,8,8,32,,16,-5,7,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,4.0,2.0
meta-llama/Llama-2-7b-hf,6.070516440100967,vlp,VLPSoftmax,torch,1,8,8,32,,16,-5,-6,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,4.0,2.0
meta-llama/Llama-2-7b-hf,5.9826608974512645,vlp,VLPSoftmax,torch,1,8,8,32,,16,-5,-5,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,4.0,2.0
meta-llama/Llama-2-7b-hf,5.982659970305955,vlp,VLPSoftmax,torch,1,8,8,32,,16,-5,-4,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,4.0,2.0
meta-llama/Llama-2-7b-hf,5.982445660956786,vlp,VLPSoftmax,torch,1,8,8,32,,16,-5,-3,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,4.0,2.0
meta-llama/Llama-2-7b-hf,5.982106133641415,vlp,VLPSoftmax,torch,1,8,8,32,,16,-5,-2,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,4.0,2.0
meta-llama/Llama-2-7b-hf,5.9816957456498185,vlp,VLPSoftmax,torch,1,8,8,32,,16,-5,-1,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,4.0,2.0
meta-llama/Llama-2-7b-hf,5.98646968146989,vlp,VLPSoftmax,torch,1,8,8,32,,16,-5,0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,4.0,2.0
meta-llama/Llama-2-7b-hf,6.047009768119806,vlp,VLPSoftmax,torch,1,8,8,32,,16,-5,1,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,4.0,2.0
