model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,max,9,8,16,32,16,1,-1,1,-6,2,2,1,1,2,-1
meta-llama/Llama-2-7b-hf,6.037365443579818,vlp,VLPSoftmax,torch,max,9,8,16,32,16,1,-1,1,-6,2,2,1,1,2,0
meta-llama/Llama-2-7b-hf,5.996852543556974,vlp,VLPSoftmax,torch,max,9,8,16,32,16,1,-1,1,-6,2,2,1,1,2,1
meta-llama/Llama-2-7b-hf,5.986382546318445,vlp,VLPSoftmax,torch,max,9,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2
meta-llama/Llama-2-7b-hf,5.98710699841002,vlp,VLPSoftmax,torch,max,9,8,16,32,16,1,-1,1,-6,2,2,1,1,2,3
meta-llama/Llama-2-7b-hf,5.987030488246562,vlp,VLPSoftmax,torch,max,9,8,16,32,16,1,-1,1,-6,2,2,1,1,2,4
meta-llama/Llama-2-7b-hf,5.987043477776301,vlp,VLPSoftmax,torch,max,9,8,16,32,16,1,-1,1,-6,2,2,1,1,2,5
meta-llama/Llama-2-7b-hf,5.987043477776301,vlp,VLPSoftmax,torch,max,9,8,16,32,16,1,-1,1,-6,2,2,1,1,2,6
meta-llama/Llama-2-7b-hf,5.987043477776301,vlp,VLPSoftmax,torch,max,9,8,16,32,16,1,-1,1,-6,2,2,1,1,2,7
meta-llama/Llama-2-7b-hf,5.98775894462932,vlp,VLPSoftmax,torch,min,9,8,16,32,16,1,-1,1,-6,2,2,1,1,2,-7
meta-llama/Llama-2-7b-hf,5.98724567557341,vlp,VLPSoftmax,torch,min,9,8,16,32,16,1,-1,1,-6,2,2,1,1,2,-6
meta-llama/Llama-2-7b-hf,5.987035412845179,vlp,VLPSoftmax,torch,min,9,8,16,32,16,1,-1,1,-6,2,2,1,1,2,-5
meta-llama/Llama-2-7b-hf,5.9870039383064135,vlp,VLPSoftmax,torch,min,9,8,16,32,16,1,-1,1,-6,2,2,1,1,2,-4
meta-llama/Llama-2-7b-hf,5.987119773989666,vlp,VLPSoftmax,torch,min,9,8,16,32,16,1,-1,1,-6,2,2,1,1,2,-3
meta-llama/Llama-2-7b-hf,5.9872241921793234,vlp,VLPSoftmax,torch,min,9,8,16,32,16,1,-1,1,-6,2,2,1,1,2,-2
meta-llama/Llama-2-7b-hf,5.988361490561304,vlp,VLPSoftmax,torch,min,9,8,16,32,16,1,-1,1,-6,2,2,1,1,2,-1
meta-llama/Llama-2-7b-hf,5.992769535736144,vlp,VLPSoftmax,torch,min,9,8,16,32,16,1,-1,1,-6,2,2,1,1,2,0
meta-llama/Llama-2-7b-hf,8.894700872376228,vlp,VLPSoftmax,torch,min,9,8,16,32,16,1,-1,1,-6,2,2,1,1,2,1
