model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,max,13,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,-1
meta-llama/Llama-2-7b-hf,6.028958611417838,vlp,VLPSoftmax,torch,max,13,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,0
meta-llama/Llama-2-7b-hf,5.999896562293312,vlp,VLPSoftmax,torch,max,13,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,1
meta-llama/Llama-2-7b-hf,5.986382546318445,vlp,VLPSoftmax,torch,max,13,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2
meta-llama/Llama-2-7b-hf,5.986715393727562,vlp,VLPSoftmax,torch,max,13,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,3
meta-llama/Llama-2-7b-hf,5.986610984411435,vlp,VLPSoftmax,torch,max,13,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,4
meta-llama/Llama-2-7b-hf,5.986622973905431,vlp,VLPSoftmax,torch,max,13,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,5
meta-llama/Llama-2-7b-hf,5.986622973905431,vlp,VLPSoftmax,torch,max,13,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,6
meta-llama/Llama-2-7b-hf,5.986622973905431,vlp,VLPSoftmax,torch,max,13,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,7
meta-llama/Llama-2-7b-hf,5.9882952439477455,vlp,VLPSoftmax,torch,min,13,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,-7
meta-llama/Llama-2-7b-hf,5.987491847940225,vlp,VLPSoftmax,torch,min,13,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,-6
meta-llama/Llama-2-7b-hf,5.986728311206305,vlp,VLPSoftmax,torch,min,13,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,-5
meta-llama/Llama-2-7b-hf,5.986673858156079,vlp,VLPSoftmax,torch,min,13,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,-4
meta-llama/Llama-2-7b-hf,5.986703760883816,vlp,VLPSoftmax,torch,min,13,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,-3
meta-llama/Llama-2-7b-hf,5.986925573847111,vlp,VLPSoftmax,torch,min,13,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,-2
meta-llama/Llama-2-7b-hf,5.988344857452574,vlp,VLPSoftmax,torch,min,13,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,-1
meta-llama/Llama-2-7b-hf,5.992919417429402,vlp,VLPSoftmax,torch,min,13,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,0
meta-llama/Llama-2-7b-hf,7.806134762814994,vlp,VLPSoftmax,torch,min,13,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,1
