model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,max,15,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,-5,-1
meta-llama/Llama-2-7b-hf,6.035573703462654,vlp,VLPSoftmax,torch,max,15,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,-5,0
meta-llama/Llama-2-7b-hf,5.996629290522839,vlp,VLPSoftmax,torch,max,15,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,-5,1
meta-llama/Llama-2-7b-hf,5.9870143584301765,vlp,VLPSoftmax,torch,max,15,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,-5,2
meta-llama/Llama-2-7b-hf,5.987339461126802,vlp,VLPSoftmax,torch,max,15,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,-5,3
meta-llama/Llama-2-7b-hf,5.987408480809565,vlp,VLPSoftmax,torch,max,15,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,-5,4
meta-llama/Llama-2-7b-hf,5.9873529509505365,vlp,VLPSoftmax,torch,max,15,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,-5,5
meta-llama/Llama-2-7b-hf,5.9873529509505365,vlp,VLPSoftmax,torch,max,15,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,-5,6
meta-llama/Llama-2-7b-hf,5.9873529509505365,vlp,VLPSoftmax,torch,max,15,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,-5,7
meta-llama/Llama-2-7b-hf,5.98853617668676,vlp,VLPSoftmax,torch,min,15,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,-5,-7
meta-llama/Llama-2-7b-hf,5.987756374962508,vlp,VLPSoftmax,torch,min,15,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,-5,-6
meta-llama/Llama-2-7b-hf,5.987340531746623,vlp,VLPSoftmax,torch,min,15,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,-5,-5
meta-llama/Llama-2-7b-hf,5.987331467171523,vlp,VLPSoftmax,torch,min,15,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,-5,-4
meta-llama/Llama-2-7b-hf,5.987318191519374,vlp,VLPSoftmax,torch,min,15,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,-5,-3
meta-llama/Llama-2-7b-hf,5.987651019572712,vlp,VLPSoftmax,torch,min,15,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,-5,-2
meta-llama/Llama-2-7b-hf,5.988423597427106,vlp,VLPSoftmax,torch,min,15,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,-5,-1
meta-llama/Llama-2-7b-hf,5.992029040877598,vlp,VLPSoftmax,torch,min,15,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,-5,0
meta-llama/Llama-2-7b-hf,6.875338927321087,vlp,VLPSoftmax,torch,min,15,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,-5,1
