model,value,function_name,attn_fn,ffn_fn,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,1,8,16,32,16,1,-1
meta-llama/Llama-2-7b-hf,19.204630824204884,vlp,VLPSoftmax,torch,1,8,16,32,16,1,0
meta-llama/Llama-2-7b-hf,6.383279652073573,vlp,VLPSoftmax,torch,1,8,16,32,16,1,1
meta-llama/Llama-2-7b-hf,6.159065709817754,vlp,VLPSoftmax,torch,1,8,16,32,16,1,2
meta-llama/Llama-2-7b-hf,6.1522429543112365,vlp,VLPSoftmax,torch,1,8,16,32,16,1,3
meta-llama/Llama-2-7b-hf,6.152315048397147,vlp,VLPSoftmax,torch,1,8,16,32,16,1,4
meta-llama/Llama-2-7b-hf,6.152272143880048,vlp,VLPSoftmax,torch,1,8,16,32,16,1,5
meta-llama/Llama-2-7b-hf,6.152272143880048,vlp,VLPSoftmax,torch,1,8,16,32,16,1,6
meta-llama/Llama-2-7b-hf,6.152272143880048,vlp,VLPSoftmax,torch,1,8,16,32,16,1,7
meta-llama/Llama-2-7b-hf,6.153762682790019,vlp,VLPSoftmax,torch,1,8,16,32,16,1,-7
meta-llama/Llama-2-7b-hf,6.153311104016773,vlp,VLPSoftmax,torch,1,8,16,32,16,1,-6
meta-llama/Llama-2-7b-hf,6.152593605000685,vlp,VLPSoftmax,torch,1,8,16,32,16,1,-5
meta-llama/Llama-2-7b-hf,6.1524716340879175,vlp,VLPSoftmax,torch,1,8,16,32,16,1,-4
meta-llama/Llama-2-7b-hf,6.152105735857361,vlp,VLPSoftmax,torch,1,8,16,32,16,1,-3
meta-llama/Llama-2-7b-hf,6.151376571230548,vlp,VLPSoftmax,torch,1,8,16,32,16,1,-2
meta-llama/Llama-2-7b-hf,6.148254527151804,vlp,VLPSoftmax,torch,1,8,16,32,16,1,-1
meta-llama/Llama-2-7b-hf,6.150276571087799,vlp,VLPSoftmax,torch,1,8,16,32,16,1,0
meta-llama/Llama-2-7b-hf,32237.925761123857,vlp,VLPSoftmax,torch,1,8,16,32,16,1,1
