model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,max,19,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-1
meta-llama/Llama-2-7b-hf,6.0056364164975,vlp,VLPSoftmax,torch,max,19,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,0
meta-llama/Llama-2-7b-hf,5.990578604792852,vlp,VLPSoftmax,torch,max,19,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,1
meta-llama/Llama-2-7b-hf,5.985419077378341,vlp,VLPSoftmax,torch,max,19,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,2
meta-llama/Llama-2-7b-hf,5.985265744419639,vlp,VLPSoftmax,torch,max,19,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,3
meta-llama/Llama-2-7b-hf,5.985239630403063,vlp,VLPSoftmax,torch,max,19,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,4
meta-llama/Llama-2-7b-hf,5.985236562370344,vlp,VLPSoftmax,torch,max,19,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,5
meta-llama/Llama-2-7b-hf,5.985236562370344,vlp,VLPSoftmax,torch,max,19,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,6
meta-llama/Llama-2-7b-hf,5.985236562370344,vlp,VLPSoftmax,torch,max,19,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,7
meta-llama/Llama-2-7b-hf,5.987155745600581,vlp,VLPSoftmax,torch,min,19,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-7
meta-llama/Llama-2-7b-hf,5.98573545942411,vlp,VLPSoftmax,torch,min,19,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-6
meta-llama/Llama-2-7b-hf,5.98524812101344,vlp,VLPSoftmax,torch,min,19,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-5
meta-llama/Llama-2-7b-hf,5.985206024828077,vlp,VLPSoftmax,torch,min,19,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4
meta-llama/Llama-2-7b-hf,5.985311051795223,vlp,VLPSoftmax,torch,min,19,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-3
meta-llama/Llama-2-7b-hf,5.985422002801035,vlp,VLPSoftmax,torch,min,19,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-2
meta-llama/Llama-2-7b-hf,5.986036373245614,vlp,VLPSoftmax,torch,min,19,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-1
meta-llama/Llama-2-7b-hf,5.988468928707063,vlp,VLPSoftmax,torch,min,19,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,0
meta-llama/Llama-2-7b-hf,94.69458738616011,vlp,VLPSoftmax,torch,min,19,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,1
