model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp,attn_layer_20_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,max,20,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-5,-1
meta-llama/Llama-2-7b-hf,6.006857770058949,vlp,VLPSoftmax,torch,max,20,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-5,0
meta-llama/Llama-2-7b-hf,5.99017541908437,vlp,VLPSoftmax,torch,max,20,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-5,1
meta-llama/Llama-2-7b-hf,5.98524812101344,vlp,VLPSoftmax,torch,max,20,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-5,2
meta-llama/Llama-2-7b-hf,5.985219795242567,vlp,VLPSoftmax,torch,max,20,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-5,3
meta-llama/Llama-2-7b-hf,5.985211661418778,vlp,VLPSoftmax,torch,max,20,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-5,4
meta-llama/Llama-2-7b-hf,5.9852155142813,vlp,VLPSoftmax,torch,max,20,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-5,5
meta-llama/Llama-2-7b-hf,5.9852155142813,vlp,VLPSoftmax,torch,max,20,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-5,6
meta-llama/Llama-2-7b-hf,5.9852155142813,vlp,VLPSoftmax,torch,max,20,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-5,7
meta-llama/Llama-2-7b-hf,5.986539904333041,vlp,VLPSoftmax,torch,min,20,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-5,-7
meta-llama/Llama-2-7b-hf,5.9854931409588685,vlp,VLPSoftmax,torch,min,20,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-5,-6
meta-llama/Llama-2-7b-hf,5.985264888220568,vlp,VLPSoftmax,torch,min,20,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-5,-5
meta-llama/Llama-2-7b-hf,5.985165427261971,vlp,VLPSoftmax,torch,min,20,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-5,-4
meta-llama/Llama-2-7b-hf,5.985219438495678,vlp,VLPSoftmax,torch,min,20,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-5,-3
meta-llama/Llama-2-7b-hf,5.985302703796309,vlp,VLPSoftmax,torch,min,20,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-5,-2
meta-llama/Llama-2-7b-hf,5.9856208635444705,vlp,VLPSoftmax,torch,min,20,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-5,-1
meta-llama/Llama-2-7b-hf,5.987387282332168,vlp,VLPSoftmax,torch,min,20,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-5,0
meta-llama/Llama-2-7b-hf,123.31625041962798,vlp,VLPSoftmax,torch,min,20,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-5,1
