model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp,attn_layer_20_max_min_exp,attn_layer_21_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,max,21,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,-1
meta-llama/Llama-2-7b-hf,5.99801669650835,vlp,VLPSoftmax,torch,max,21,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,0
meta-llama/Llama-2-7b-hf,5.987875508730669,vlp,VLPSoftmax,torch,max,21,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,1
meta-llama/Llama-2-7b-hf,5.98513653109533,vlp,VLPSoftmax,torch,max,21,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2
meta-llama/Llama-2-7b-hf,5.985216441822649,vlp,VLPSoftmax,torch,max,21,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,3
meta-llama/Llama-2-7b-hf,5.985236276972031,vlp,VLPSoftmax,torch,max,21,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,4
meta-llama/Llama-2-7b-hf,5.985225003749571,vlp,VLPSoftmax,torch,max,21,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,5
meta-llama/Llama-2-7b-hf,5.985225003749571,vlp,VLPSoftmax,torch,max,21,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,6
meta-llama/Llama-2-7b-hf,5.985225003749571,vlp,VLPSoftmax,torch,max,21,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,7
meta-llama/Llama-2-7b-hf,5.986251453480058,vlp,VLPSoftmax,torch,min,21,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,-7
meta-llama/Llama-2-7b-hf,5.985594747978492,vlp,VLPSoftmax,torch,min,21,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,-6
meta-llama/Llama-2-7b-hf,5.985233565688741,vlp,VLPSoftmax,torch,min,21,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,-5
meta-llama/Llama-2-7b-hf,5.98523534942761,vlp,VLPSoftmax,torch,min,21,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,-4
meta-llama/Llama-2-7b-hf,5.985260749926782,vlp,VLPSoftmax,torch,min,21,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,-3
meta-llama/Llama-2-7b-hf,5.985383615660863,vlp,VLPSoftmax,torch,min,21,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,-2
meta-llama/Llama-2-7b-hf,5.9857574369668205,vlp,VLPSoftmax,torch,min,21,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,-1
meta-llama/Llama-2-7b-hf,5.9874695785245775,vlp,VLPSoftmax,torch,min,21,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,0
meta-llama/Llama-2-7b-hf,63.52586546320296,vlp,VLPSoftmax,torch,min,21,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,1
