model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp,attn_layer_20_max_min_exp,attn_layer_21_max_min_exp,attn_layer_22_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,max,22,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,-1
meta-llama/Llama-2-7b-hf,6.0005968264500265,vlp,VLPSoftmax,torch,max,22,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,0
meta-llama/Llama-2-7b-hf,5.989143869956426,vlp,VLPSoftmax,torch,max,22,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,1
meta-llama/Llama-2-7b-hf,5.98513653109533,vlp,VLPSoftmax,torch,max,22,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,2
meta-llama/Llama-2-7b-hf,5.985111345167579,vlp,VLPSoftmax,torch,max,22,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,3
meta-llama/Llama-2-7b-hf,5.98510784911233,vlp,VLPSoftmax,torch,max,22,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,4
meta-llama/Llama-2-7b-hf,5.985072175195918,vlp,VLPSoftmax,torch,max,22,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,5
meta-llama/Llama-2-7b-hf,5.985072175195918,vlp,VLPSoftmax,torch,max,22,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6
meta-llama/Llama-2-7b-hf,5.985072175195918,vlp,VLPSoftmax,torch,max,22,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,7
meta-llama/Llama-2-7b-hf,5.986638389004422,vlp,VLPSoftmax,torch,min,22,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,-7
meta-llama/Llama-2-7b-hf,5.985436344528099,vlp,VLPSoftmax,torch,min,22,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,-6
meta-llama/Llama-2-7b-hf,5.985073958886689,vlp,VLPSoftmax,torch,min,22,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,-5
meta-llama/Llama-2-7b-hf,5.985099644092727,vlp,VLPSoftmax,torch,min,22,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,-4
meta-llama/Llama-2-7b-hf,5.985149159773218,vlp,VLPSoftmax,torch,min,22,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,-3
meta-llama/Llama-2-7b-hf,5.985279300921258,vlp,VLPSoftmax,torch,min,22,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,-2
meta-llama/Llama-2-7b-hf,5.985605522419501,vlp,VLPSoftmax,torch,min,22,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,-1
meta-llama/Llama-2-7b-hf,5.9874913483049905,vlp,VLPSoftmax,torch,min,22,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,0
meta-llama/Llama-2-7b-hf,65.93672367586497,vlp,VLPSoftmax,torch,min,22,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,1
