model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp,attn_layer_20_max_min_exp,attn_layer_21_max_min_exp,attn_layer_22_max_min_exp,attn_layer_23_max_min_exp,attn_layer_24_max_min_exp,attn_layer_25_max_min_exp,attn_layer_26_max_min_exp,attn_layer_27_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,max,27,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,-1
meta-llama/Llama-2-7b-hf,5.999146962508582,vlp,VLPSoftmax,torch,max,27,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,0
meta-llama/Llama-2-7b-hf,5.988486632985171,vlp,VLPSoftmax,torch,max,27,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,1
meta-llama/Llama-2-7b-hf,5.984871477705391,vlp,VLPSoftmax,torch,max,27,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,2
meta-llama/Llama-2-7b-hf,5.984727005363096,vlp,VLPSoftmax,torch,max,27,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3
meta-llama/Llama-2-7b-hf,5.984794782077051,vlp,VLPSoftmax,torch,max,27,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,4
meta-llama/Llama-2-7b-hf,5.984811119947122,vlp,VLPSoftmax,torch,max,27,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,5
meta-llama/Llama-2-7b-hf,5.984811119947122,vlp,VLPSoftmax,torch,max,27,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,6
meta-llama/Llama-2-7b-hf,5.984811119947122,vlp,VLPSoftmax,torch,max,27,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,7
meta-llama/Llama-2-7b-hf,5.985078525137484,vlp,VLPSoftmax,torch,min,27,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,-7
meta-llama/Llama-2-7b-hf,5.984811548014187,vlp,VLPSoftmax,torch,min,27,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,-6
meta-llama/Llama-2-7b-hf,5.984776018552038,vlp,VLPSoftmax,torch,min,27,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,-5
meta-llama/Llama-2-7b-hf,5.984778729628062,vlp,VLPSoftmax,torch,min,27,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,-4
meta-llama/Llama-2-7b-hf,5.984767599955372,vlp,VLPSoftmax,torch,min,27,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,-3
meta-llama/Llama-2-7b-hf,5.984824104661695,vlp,VLPSoftmax,torch,min,27,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,-2
meta-llama/Llama-2-7b-hf,5.984963799142082,vlp,VLPSoftmax,torch,min,27,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,-1
meta-llama/Llama-2-7b-hf,5.986374910456525,vlp,VLPSoftmax,torch,min,27,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,0
meta-llama/Llama-2-7b-hf,7.442330156309907,vlp,VLPSoftmax,torch,min,27,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,1
