model,value,function_name,attn_fn,ffn_fn,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,2,8,16,32,16,1,-1,-1
meta-llama/Llama-2-7b-hf,8.045681370976537,vlp,VLPSoftmax,torch,2,8,16,32,16,1,-1,0
meta-llama/Llama-2-7b-hf,6.093067438886322,vlp,VLPSoftmax,torch,2,8,16,32,16,1,-1,1
meta-llama/Llama-2-7b-hf,6.148254527151804,vlp,VLPSoftmax,torch,2,8,16,32,16,1,-1,2
meta-llama/Llama-2-7b-hf,6.421591536597259,vlp,VLPSoftmax,torch,2,8,16,32,16,1,-1,3
meta-llama/Llama-2-7b-hf,6.421667246315344,vlp,VLPSoftmax,torch,2,8,16,32,16,1,-1,4
meta-llama/Llama-2-7b-hf,6.421667246315344,vlp,VLPSoftmax,torch,2,8,16,32,16,1,-1,5
meta-llama/Llama-2-7b-hf,6.421667246315344,vlp,VLPSoftmax,torch,2,8,16,32,16,1,-1,6
meta-llama/Llama-2-7b-hf,6.421667246315344,vlp,VLPSoftmax,torch,2,8,16,32,16,1,-1,7
meta-llama/Llama-2-7b-hf,6.672021168139706,vlp,VLPSoftmax,torch,2,8,16,32,16,1,-1,-7
meta-llama/Llama-2-7b-hf,6.466644287405682,vlp,VLPSoftmax,torch,2,8,16,32,16,1,-1,-6
meta-llama/Llama-2-7b-hf,6.421336778802949,vlp,VLPSoftmax,torch,2,8,16,32,16,1,-1,-5
meta-llama/Llama-2-7b-hf,6.421707972235641,vlp,VLPSoftmax,torch,2,8,16,32,16,1,-1,-4
meta-llama/Llama-2-7b-hf,6.427360508908845,vlp,VLPSoftmax,torch,2,8,16,32,16,1,-1,-3
meta-llama/Llama-2-7b-hf,6.450033987054171,vlp,VLPSoftmax,torch,2,8,16,32,16,1,-1,-2
meta-llama/Llama-2-7b-hf,6.543873539489948,vlp,VLPSoftmax,torch,2,8,16,32,16,1,-1,-1
meta-llama/Llama-2-7b-hf,7.048096617012425,vlp,VLPSoftmax,torch,2,8,16,32,16,1,-1,0
meta-llama/Llama-2-7b-hf,54.27233284727775,vlp,VLPSoftmax,torch,2,8,16,32,16,1,-1,1
