model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,max,5,8,16,32,16,1,-1,1,-6,2,-1
meta-llama/Llama-2-7b-hf,6.263352176595418,vlp,VLPSoftmax,torch,max,5,8,16,32,16,1,-1,1,-6,2,0
meta-llama/Llama-2-7b-hf,6.112084357627832,vlp,VLPSoftmax,torch,max,5,8,16,32,16,1,-1,1,-6,2,1
meta-llama/Llama-2-7b-hf,6.075816681758523,vlp,VLPSoftmax,torch,max,5,8,16,32,16,1,-1,1,-6,2,2
meta-llama/Llama-2-7b-hf,6.103570935234807,vlp,VLPSoftmax,torch,max,5,8,16,32,16,1,-1,1,-6,2,3
meta-llama/Llama-2-7b-hf,6.103511563171417,vlp,VLPSoftmax,torch,max,5,8,16,32,16,1,-1,1,-6,2,4
meta-llama/Llama-2-7b-hf,6.103585341778436,vlp,VLPSoftmax,torch,max,5,8,16,32,16,1,-1,1,-6,2,5
meta-llama/Llama-2-7b-hf,6.103585341778436,vlp,VLPSoftmax,torch,max,5,8,16,32,16,1,-1,1,-6,2,6
meta-llama/Llama-2-7b-hf,6.103585341778436,vlp,VLPSoftmax,torch,max,5,8,16,32,16,1,-1,1,-6,2,7
meta-llama/Llama-2-7b-hf,6.105976134795001,vlp,VLPSoftmax,torch,min,5,8,16,32,16,1,-1,1,-6,2,-7
meta-llama/Llama-2-7b-hf,6.102177081062412,vlp,VLPSoftmax,torch,min,5,8,16,32,16,1,-1,1,-6,2,-6
meta-llama/Llama-2-7b-hf,6.103533027269836,vlp,VLPSoftmax,torch,min,5,8,16,32,16,1,-1,1,-6,2,-5
meta-llama/Llama-2-7b-hf,6.103799988753961,vlp,VLPSoftmax,torch,min,5,8,16,32,16,1,-1,1,-6,2,-4
meta-llama/Llama-2-7b-hf,6.104781712869463,vlp,VLPSoftmax,torch,min,5,8,16,32,16,1,-1,1,-6,2,-3
meta-llama/Llama-2-7b-hf,6.109353600408585,vlp,VLPSoftmax,torch,min,5,8,16,32,16,1,-1,1,-6,2,-2
meta-llama/Llama-2-7b-hf,6.120053626313578,vlp,VLPSoftmax,torch,min,5,8,16,32,16,1,-1,1,-6,2,-1
meta-llama/Llama-2-7b-hf,6.144964556255159,vlp,VLPSoftmax,torch,min,5,8,16,32,16,1,-1,1,-6,2,0
meta-llama/Llama-2-7b-hf,22.53909861376596,vlp,VLPSoftmax,torch,min,5,8,16,32,16,1,-1,1,-6,2,1
