model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,max,7,8,16,32,16,1,-1,1,-6,2,2,1,-1
meta-llama/Llama-2-7b-hf,6.027650920542352,vlp,VLPSoftmax,torch,max,7,8,16,32,16,1,-1,1,-6,2,2,1,0
meta-llama/Llama-2-7b-hf,5.986382546318445,vlp,VLPSoftmax,torch,max,7,8,16,32,16,1,-1,1,-6,2,2,1,1
meta-llama/Llama-2-7b-hf,6.029233235950542,vlp,VLPSoftmax,torch,max,7,8,16,32,16,1,-1,1,-6,2,2,1,2
meta-llama/Llama-2-7b-hf,6.0464635973628225,vlp,VLPSoftmax,torch,max,7,8,16,32,16,1,-1,1,-6,2,2,1,3
meta-llama/Llama-2-7b-hf,6.0469262931382675,vlp,VLPSoftmax,torch,max,7,8,16,32,16,1,-1,1,-6,2,2,1,4
meta-llama/Llama-2-7b-hf,6.046830781295759,vlp,VLPSoftmax,torch,max,7,8,16,32,16,1,-1,1,-6,2,2,1,5
meta-llama/Llama-2-7b-hf,6.046830781295759,vlp,VLPSoftmax,torch,max,7,8,16,32,16,1,-1,1,-6,2,2,1,6
meta-llama/Llama-2-7b-hf,6.046830781295759,vlp,VLPSoftmax,torch,max,7,8,16,32,16,1,-1,1,-6,2,2,1,7
meta-llama/Llama-2-7b-hf,6.054813781063889,vlp,VLPSoftmax,torch,min,7,8,16,32,16,1,-1,1,-6,2,2,1,-7
meta-llama/Llama-2-7b-hf,6.050410731189235,vlp,VLPSoftmax,torch,min,7,8,16,32,16,1,-1,1,-6,2,2,1,-6
meta-llama/Llama-2-7b-hf,6.046580727624646,vlp,VLPSoftmax,torch,min,7,8,16,32,16,1,-1,1,-6,2,2,1,-5
meta-llama/Llama-2-7b-hf,6.046714078684743,vlp,VLPSoftmax,torch,min,7,8,16,32,16,1,-1,1,-6,2,2,1,-4
meta-llama/Llama-2-7b-hf,6.048476535118771,vlp,VLPSoftmax,torch,min,7,8,16,32,16,1,-1,1,-6,2,2,1,-3
meta-llama/Llama-2-7b-hf,6.053883320833,vlp,VLPSoftmax,torch,min,7,8,16,32,16,1,-1,1,-6,2,2,1,-2
meta-llama/Llama-2-7b-hf,6.067241016945115,vlp,VLPSoftmax,torch,min,7,8,16,32,16,1,-1,1,-6,2,2,1,-1
meta-llama/Llama-2-7b-hf,6.093167458135362,vlp,VLPSoftmax,torch,min,7,8,16,32,16,1,-1,1,-6,2,2,1,0
meta-llama/Llama-2-7b-hf,10.998813507875782,vlp,VLPSoftmax,torch,min,7,8,16,32,16,1,-1,1,-6,2,2,1,1
