model,modality,value,function_name,patch_attention,patch_ffn,attn_fn,ffn_fn,attn_exp_dim,attn_max_exp,attn_min_exp,attn_window_size,attn_lut_build,ffn_exp_dim,ffn_max_pos_exp,ffn_window_size,attn_segments,attn_segment_0,ffn_segments,ffn_segment_0,attn_degree_center,attn_degrees,ffn_min_pos_exp,ffn_lut_build
microsoft/swinv2-base-patch4-window8-256,vision,0.9033203125,torch,True,False,CustomSoftmax,CustomGelu,,,,,,,,,,,,,,,,
microsoft/swinv2-base-patch4-window8-256,vision,,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-4.0,-4.0,256.0,max,,,,,,,,,,,
microsoft/swinv2-base-patch4-window8-256,vision,,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-3.0,-4.0,256.0,max,,,,,,,,,,,
microsoft/swinv2-base-patch4-window8-256,vision,,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-2.0,-4.0,256.0,max,,,,,,,,,,,
microsoft/swinv2-base-patch4-window8-256,vision,,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-1.0,-4.0,256.0,max,,,,,,,,,,,
microsoft/swinv2-base-patch4-window8-256,vision,1.126953125,vlp,True,False,VLPSoftmax,CustomGelu,8.0,0.0,-4.0,256.0,max,,,,,,,,,,,
microsoft/swinv2-base-patch4-window8-256,vision,0.89404296875,vlp,True,False,VLPSoftmax,CustomGelu,8.0,1.0,-4.0,256.0,max,,,,,,,,,,,
microsoft/swinv2-base-patch4-window8-256,vision,0.900390625,vlp,True,False,VLPSoftmax,CustomGelu,8.0,2.0,-4.0,256.0,max,,,,,,,,,,,
microsoft/swinv2-base-patch4-window8-256,vision,0.900390625,vlp,True,False,VLPSoftmax,CustomGelu,8.0,3.0,-4.0,256.0,max,,,,,,,,,,,
microsoft/swinv2-base-patch4-window8-256,vision,0.9013671875,vlp,True,False,VLPSoftmax,CustomGelu,8.0,4.0,-4.0,256.0,max,,,,,,,,,,,
microsoft/swinv2-base-patch4-window8-256,vision,,vlp,True,False,VLPSoftmax,CustomGelu,9.0,-4.0,-4.0,256.0,max,,,,,,,,,,,
microsoft/swinv2-base-patch4-window8-256,vision,,vlp,True,False,VLPSoftmax,CustomGelu,9.0,-3.0,-4.0,256.0,max,,,,,,,,,,,
microsoft/swinv2-base-patch4-window8-256,vision,,vlp,True,False,VLPSoftmax,CustomGelu,9.0,-2.0,-4.0,256.0,max,,,,,,,,,,,
microsoft/swinv2-base-patch4-window8-256,vision,,vlp,True,False,VLPSoftmax,CustomGelu,9.0,-1.0,-4.0,256.0,max,,,,,,,,,,,
microsoft/swinv2-base-patch4-window8-256,vision,1.126953125,vlp,True,False,VLPSoftmax,CustomGelu,9.0,0.0,-4.0,256.0,max,,,,,,,,,,,
microsoft/swinv2-base-patch4-window8-256,vision,0.89404296875,vlp,True,False,VLPSoftmax,CustomGelu,9.0,1.0,-4.0,256.0,max,,,,,,,,,,,
microsoft/swinv2-base-patch4-window8-256,vision,0.900390625,vlp,True,False,VLPSoftmax,CustomGelu,9.0,2.0,-4.0,256.0,max,,,,,,,,,,,
microsoft/swinv2-base-patch4-window8-256,vision,0.9013671875,vlp,True,False,VLPSoftmax,CustomGelu,9.0,3.0,-4.0,256.0,max,,,,,,,,,,,
microsoft/swinv2-base-patch4-window8-256,vision,0.89892578125,vlp,True,False,VLPSoftmax,CustomGelu,9.0,4.0,-4.0,256.0,max,,,,,,,,,,,
