model,value,function_name,attn_fn,ffn_fn,attn_exp_dim,attn_window_dim,attn_window_size,attn_lut_build,attn_mant_dim,attn_max_min_exp
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,,vlp,VLPSoftmax,torch,8.0,16.0,256.0,max,16.0,-4
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,,vlp,VLPSoftmax,torch,8.0,16.0,256.0,max,16.0,-3
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,,vlp,VLPSoftmax,torch,8.0,16.0,256.0,max,16.0,-2
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,,vlp,VLPSoftmax,torch,8.0,16.0,256.0,max,16.0,-1
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,1.0234375,vlp,VLPSoftmax,torch,8.0,16.0,256.0,max,16.0,0
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,0.75537109375,vlp,VLPSoftmax,torch,8.0,16.0,256.0,max,16.0,1
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,0.71484375,vlp,VLPSoftmax,torch,8.0,16.0,256.0,max,16.0,2
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,0.71435546875,vlp,VLPSoftmax,torch,8.0,16.0,256.0,max,16.0,3
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,0.71435546875,vlp,VLPSoftmax,torch,8.0,16.0,256.0,max,16.0,4
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,0.7138671875,vlp,VLPSoftmax,torch,8.0,16.0,256.0,max,16.0,5
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,0.71435546875,vlp,VLPSoftmax,torch,8.0,16.0,256.0,max,16.0,6
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,0.712890625,vlp,VLPSoftmax,torch,8.0,16.0,256.0,max,16.0,7
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,,vlp,VLPSoftmax,torch,9.0,16.0,256.0,max,16.0,-4
microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft,,vlp,VLPSoftmax,torch,9.0,16.0,256.0,max,16.0,-3
