model,value,function_name,attn_fn,ffn_fn,attn_exp_dim,attn_window_dim,attn_window_size,attn_lut_build,attn_mant_dim,attn_max_min_exp
microsoft/swinv2-tiny-patch4-window8-256,,vlp,VLPSoftmax,torch,8.0,16.0,256.0,max,16.0,-4
microsoft/swinv2-tiny-patch4-window8-256,,vlp,VLPSoftmax,torch,8.0,16.0,256.0,max,16.0,-3
microsoft/swinv2-tiny-patch4-window8-256,,vlp,VLPSoftmax,torch,8.0,16.0,256.0,max,16.0,-2
microsoft/swinv2-tiny-patch4-window8-256,,vlp,VLPSoftmax,torch,8.0,16.0,256.0,max,16.0,-1
microsoft/swinv2-tiny-patch4-window8-256,1.2158203125,vlp,VLPSoftmax,torch,8.0,16.0,256.0,max,16.0,0
microsoft/swinv2-tiny-patch4-window8-256,0.91455078125,vlp,VLPSoftmax,torch,8.0,16.0,256.0,max,16.0,1
microsoft/swinv2-tiny-patch4-window8-256,0.90625,vlp,VLPSoftmax,torch,8.0,16.0,256.0,max,16.0,2
microsoft/swinv2-tiny-patch4-window8-256,0.90576171875,vlp,VLPSoftmax,torch,8.0,16.0,256.0,max,16.0,3
microsoft/swinv2-tiny-patch4-window8-256,0.90576171875,vlp,VLPSoftmax,torch,8.0,16.0,256.0,max,16.0,4
microsoft/swinv2-tiny-patch4-window8-256,0.90576171875,vlp,VLPSoftmax,torch,8.0,16.0,256.0,max,16.0,5
microsoft/swinv2-tiny-patch4-window8-256,0.908203125,vlp,VLPSoftmax,torch,8.0,16.0,256.0,max,16.0,6
microsoft/swinv2-tiny-patch4-window8-256,0.912109375,vlp,VLPSoftmax,torch,8.0,16.0,256.0,max,16.0,7
microsoft/swinv2-tiny-patch4-window8-256,,vlp,VLPSoftmax,torch,9.0,16.0,256.0,max,16.0,-4
microsoft/swinv2-tiny-patch4-window8-256,,vlp,VLPSoftmax,torch,9.0,16.0,256.0,max,16.0,-3
microsoft/swinv2-tiny-patch4-window8-256,,vlp,VLPSoftmax,torch,9.0,16.0,256.0,max,16.0,-2
microsoft/swinv2-tiny-patch4-window8-256,,vlp,VLPSoftmax,torch,9.0,16.0,256.0,max,16.0,-1
microsoft/swinv2-tiny-patch4-window8-256,1.2158203125,vlp,VLPSoftmax,torch,9.0,16.0,256.0,max,16.0,0
microsoft/swinv2-tiny-patch4-window8-256,0.91455078125,vlp,VLPSoftmax,torch,9.0,16.0,256.0,max,16.0,1
microsoft/swinv2-tiny-patch4-window8-256,0.90625,vlp,VLPSoftmax,torch,9.0,16.0,256.0,max,16.0,2
microsoft/swinv2-tiny-patch4-window8-256,0.90478515625,vlp,VLPSoftmax,torch,9.0,16.0,256.0,max,16.0,3
microsoft/swinv2-tiny-patch4-window8-256,0.90576171875,vlp,VLPSoftmax,torch,9.0,16.0,256.0,max,16.0,4
microsoft/swinv2-tiny-patch4-window8-256,0.90576171875,vlp,VLPSoftmax,torch,9.0,16.0,256.0,max,16.0,5
microsoft/swinv2-tiny-patch4-window8-256,0.9052734375,vlp,VLPSoftmax,torch,9.0,16.0,256.0,max,16.0,6
microsoft/swinv2-tiny-patch4-window8-256,0.90771484375,vlp,VLPSoftmax,torch,9.0,16.0,256.0,max,16.0,7
microsoft/swinv2-tiny-patch4-window8-256,,vlp,VLPSoftmax,torch,10.0,16.0,256.0,max,16.0,-4
microsoft/swinv2-tiny-patch4-window8-256,,vlp,VLPSoftmax,torch,10.0,16.0,256.0,max,16.0,-3
microsoft/swinv2-tiny-patch4-window8-256,,vlp,VLPSoftmax,torch,10.0,16.0,256.0,max,16.0,-2
microsoft/swinv2-tiny-patch4-window8-256,,vlp,VLPSoftmax,torch,10.0,16.0,256.0,max,16.0,-1
microsoft/swinv2-tiny-patch4-window8-256,1.2158203125,vlp,VLPSoftmax,torch,10.0,16.0,256.0,max,16.0,0
microsoft/swinv2-tiny-patch4-window8-256,0.9140625,vlp,VLPSoftmax,torch,10.0,16.0,256.0,max,16.0,1
microsoft/swinv2-tiny-patch4-window8-256,0.90625,vlp,VLPSoftmax,torch,10.0,16.0,256.0,max,16.0,2
microsoft/swinv2-tiny-patch4-window8-256,0.90576171875,vlp,VLPSoftmax,torch,10.0,16.0,256.0,max,16.0,3
microsoft/swinv2-tiny-patch4-window8-256,0.90478515625,vlp,VLPSoftmax,torch,10.0,16.0,256.0,max,16.0,4
microsoft/swinv2-tiny-patch4-window8-256,0.9052734375,vlp,VLPSoftmax,torch,10.0,16.0,256.0,max,16.0,5
microsoft/swinv2-tiny-patch4-window8-256,0.90576171875,vlp,VLPSoftmax,torch,10.0,16.0,256.0,max,16.0,6
microsoft/swinv2-tiny-patch4-window8-256,0.9052734375,vlp,VLPSoftmax,torch,10.0,16.0,256.0,max,16.0,7
microsoft/swinv2-tiny-patch4-window8-256,,vlp,VLPSoftmax,torch,11.0,16.0,256.0,max,16.0,-4
