model,value,function_name,attn_fn,ffn_fn,attn_segments,attn_segment_0
openai/whisper-tiny,,pwl,PWLSoftmax,torch,20,-16
openai/whisper-tiny,,pwl,PWLSoftmax,torch,20,-17
openai/whisper-tiny,,pwl,PWLSoftmax,torch,20,-18
openai/whisper-tiny,,pwl,PWLSoftmax,torch,20,-19
openai/whisper-tiny,,pwl,PWLSoftmax,torch,20,-20
openai/whisper-tiny,,pwl,PWLSoftmax,torch,20,-21
openai/whisper-tiny,,pwl,PWLSoftmax,torch,20,-22
openai/whisper-tiny,,pwl,PWLSoftmax,torch,20,-23
openai/whisper-tiny,,pwl,PWLSoftmax,torch,20,-24
openai/whisper-tiny,,pwl,PWLSoftmax,torch,21,-16
openai/whisper-tiny,,pwl,PWLSoftmax,torch,21,-17
openai/whisper-tiny,,pwl,PWLSoftmax,torch,21,-18
openai/whisper-tiny,,pwl,PWLSoftmax,torch,21,-19
openai/whisper-tiny,,pwl,PWLSoftmax,torch,21,-20
openai/whisper-tiny,,pwl,PWLSoftmax,torch,21,-21
openai/whisper-tiny,,pwl,PWLSoftmax,torch,21,-22
openai/whisper-tiny,,pwl,PWLSoftmax,torch,21,-23
openai/whisper-tiny,,pwl,PWLSoftmax,torch,21,-24
openai/whisper-tiny,,pwl,PWLSoftmax,torch,22,-16
openai/whisper-tiny,,pwl,PWLSoftmax,torch,22,-17
openai/whisper-tiny,,pwl,PWLSoftmax,torch,22,-18
openai/whisper-tiny,,pwl,PWLSoftmax,torch,22,-19
openai/whisper-tiny,,pwl,PWLSoftmax,torch,22,-20
openai/whisper-tiny,,pwl,PWLSoftmax,torch,22,-21
openai/whisper-tiny,,pwl,PWLSoftmax,torch,22,-22
openai/whisper-tiny,,pwl,PWLSoftmax,torch,22,-23
openai/whisper-tiny,,pwl,PWLSoftmax,torch,22,-24
openai/whisper-tiny,,pwl,PWLSoftmax,torch,23,-16
openai/whisper-tiny,,pwl,PWLSoftmax,torch,23,-17
openai/whisper-tiny,,pwl,PWLSoftmax,torch,23,-18
openai/whisper-tiny,,pwl,PWLSoftmax,torch,23,-19
openai/whisper-tiny,,pwl,PWLSoftmax,torch,23,-20
openai/whisper-tiny,,pwl,PWLSoftmax,torch,23,-21
openai/whisper-tiny,,pwl,PWLSoftmax,torch,23,-22
openai/whisper-tiny,,pwl,PWLSoftmax,torch,23,-23
openai/whisper-tiny,,pwl,PWLSoftmax,torch,23,-24
openai/whisper-tiny,,pwl,PWLSoftmax,torch,24,-16
openai/whisper-tiny,,pwl,PWLSoftmax,torch,24,-17
openai/whisper-tiny,,pwl,PWLSoftmax,torch,24,-18
openai/whisper-tiny,,pwl,PWLSoftmax,torch,24,-19
openai/whisper-tiny,,pwl,PWLSoftmax,torch,24,-20
openai/whisper-tiny,,pwl,PWLSoftmax,torch,24,-21
openai/whisper-tiny,,pwl,PWLSoftmax,torch,24,-22
openai/whisper-tiny,,pwl,PWLSoftmax,torch,24,-23
openai/whisper-tiny,,pwl,PWLSoftmax,torch,24,-24
openai/whisper-tiny,,pwl,PWLSoftmax,torch,25,-16
openai/whisper-tiny,,pwl,PWLSoftmax,torch,25,-17
openai/whisper-tiny,,pwl,PWLSoftmax,torch,25,-18
openai/whisper-tiny,,pwl,PWLSoftmax,torch,25,-19
openai/whisper-tiny,,pwl,PWLSoftmax,torch,25,-20
openai/whisper-tiny,,pwl,PWLSoftmax,torch,25,-21
openai/whisper-tiny,,pwl,PWLSoftmax,torch,25,-22
openai/whisper-tiny,,pwl,PWLSoftmax,torch,25,-23
openai/whisper-tiny,,pwl,PWLSoftmax,torch,25,-24
openai/whisper-tiny,,pwl,PWLSoftmax,torch,20,16
openai/whisper-tiny,,pwl,PWLSoftmax,torch,20,17
openai/whisper-tiny,,pwl,PWLSoftmax,torch,20,18
openai/whisper-tiny,,pwl,PWLSoftmax,torch,20,19
openai/whisper-tiny,,pwl,PWLSoftmax,torch,20,20
openai/whisper-tiny,,pwl,PWLSoftmax,torch,20,21
openai/whisper-tiny,,pwl,PWLSoftmax,torch,20,22
openai/whisper-tiny,,pwl,PWLSoftmax,torch,20,23
openai/whisper-tiny,,pwl,PWLSoftmax,torch,20,24
openai/whisper-tiny,,pwl,PWLSoftmax,torch,21,16
openai/whisper-tiny,,pwl,PWLSoftmax,torch,21,17
openai/whisper-tiny,,pwl,PWLSoftmax,torch,21,18
openai/whisper-tiny,,pwl,PWLSoftmax,torch,21,19
openai/whisper-tiny,,pwl,PWLSoftmax,torch,21,20
openai/whisper-tiny,,pwl,PWLSoftmax,torch,21,21
openai/whisper-tiny,,pwl,PWLSoftmax,torch,21,22
openai/whisper-tiny,,pwl,PWLSoftmax,torch,21,23
openai/whisper-tiny,,pwl,PWLSoftmax,torch,21,24
openai/whisper-tiny,,pwl,PWLSoftmax,torch,22,16
openai/whisper-tiny,,pwl,PWLSoftmax,torch,22,17
openai/whisper-tiny,,pwl,PWLSoftmax,torch,22,18
openai/whisper-tiny,,pwl,PWLSoftmax,torch,22,19
openai/whisper-tiny,,pwl,PWLSoftmax,torch,22,20
openai/whisper-tiny,,pwl,PWLSoftmax,torch,22,21
openai/whisper-tiny,,pwl,PWLSoftmax,torch,22,22
openai/whisper-tiny,,pwl,PWLSoftmax,torch,22,23
openai/whisper-tiny,,pwl,PWLSoftmax,torch,22,24
openai/whisper-tiny,,pwl,PWLSoftmax,torch,23,16
openai/whisper-tiny,,pwl,PWLSoftmax,torch,23,17
openai/whisper-tiny,,pwl,PWLSoftmax,torch,23,18
openai/whisper-tiny,,pwl,PWLSoftmax,torch,23,19
openai/whisper-tiny,,pwl,PWLSoftmax,torch,23,20
openai/whisper-tiny,,pwl,PWLSoftmax,torch,23,21
openai/whisper-tiny,,pwl,PWLSoftmax,torch,23,22
openai/whisper-tiny,,pwl,PWLSoftmax,torch,23,23
openai/whisper-tiny,78703.07452234121,pwl,PWLSoftmax,torch,23,24
openai/whisper-tiny,,pwl,PWLSoftmax,torch,24,16
openai/whisper-tiny,,pwl,PWLSoftmax,torch,24,17
openai/whisper-tiny,,pwl,PWLSoftmax,torch,24,18
openai/whisper-tiny,,pwl,PWLSoftmax,torch,24,19
